isin,time,yield,vol
PIBL1221E208,2:03:23 PM,1.43,1
PIBD0523C752,2:02:03 PM,2.3,48
PIBD0523C752,2:01:54 PM,2.3,25
PIBL1221L497,2:01:43 PM,1.63,5
PIID0323B101,2:00:42 PM,2.1875,28.6
PIID0527L140,11:59:06 AM,4.395,100
PIID0527L140,11:59:04 AM,4.395,100
PIID0524C129,11:57:11 AM,2.775,9.6
PIID1026I057,11:55:44 AM,4.15,8
PIBL1221A042,11:54:43 AM,1.035,30.03
PIBL1221C139,11:53:42 AM,1.18,2.01
PIBD0524J762,11:52:10 AM,3.1,93.073
PIBL1221E208,11:50:19 AM,1.42,5
PIBL1221C102,11:49:57 AM,1.13,15.02
PIBL1221C102,11:49:56 AM,1.13,2
PIBL1221C102,11:49:54 AM,1.13,9.05
PIBL1221F234,11:49:48 AM,1.43,1
PIBL1221L497,11:49:46 AM,1.63,1.01
PIID0527L140,11:44:59 AM,4.4,25
PIBL1221F234,11:42:59 AM,1.435,4
PIBD0523C752,11:42:24 AM,2.3,428
PIID0527L140,11:42:01 AM,4.4,0.005
PIID0525H130,11:40:49 AM,3.725,0.035
PIBL1221F234,11:40:41 AM,1.43,75.39
PIID0323B101,11:39:37 AM,2.185,27
PIID0324C115,11:39:15 AM,2.8,0.005
PIBD2039A232,11:39:06 AM,4.955,5
PIBD2039A232,11:38:54 AM,4.955,20
PIBL1221A024,11:38:12 AM,1.03,8.6588
PIBL1221A042,11:37:30 AM,1.075,0.5153
PIBL1221L497,11:36:31 AM,1.63,2
PIBL1221E208,11:36:00 AM,1.41,33.1
PIBL1221F234,11:35:53 AM,1.43,3.1
PIID0525H130,11:35:51 AM,3.69,50
PIBL1221F234,11:35:46 AM,1.435,1
PIBL1221J436,11:34:52 AM,1.615,500
PIBL1221A042,11:34:40 AM,1.075,3
PIBL1221C102,11:34:31 AM,1.13,4.5
PIBL1221B050,11:34:09 AM,1.08,0.5
PIBL1221A042,11:33:46 AM,1.075,3
PIBL1221E208,11:33:18 AM,1.41,255
PIID0324C115,11:33:05 AM,2.75,25
PIBL1221L497,11:32:54 AM,1.63,1.06
PIID0525H130,11:31:24 AM,3.65,1
