isin,time,yield,vol
PIBL1221C120,11:50:52 AM,1.37,3.51
PIBL1221C120,11:50:51 AM,1.37,1.51
PIBL1221C120,11:50:48 AM,1.37,3.01
PIBL1221K452,11:50:45 AM,1.61,2.5
PIBL1221E191,11:50:22 AM,1.423,2.5
PIBL1221E191,11:49:56 AM,1.4,3.02
PIBL1221D156,11:49:28 AM,1.375,100
PIBL1221A033,11:45:50 AM,1.125,1
PIBL1221J427,11:43:43 AM,1.6,0.5101
PIBL1221A024,11:43:41 AM,1.0895,7.1135
PIBL1221C120,11:43:00 AM,1.37,9.85
PIBL1221C120,11:42:59 AM,1.37,9.86
PIBD0526D772,11:42:48 AM,4.17,25
PIBL1221C120,11:42:41 AM,1.37,1
PIBL1221A042,11:42:21 AM,1.1,2
PIBL1221C102,11:42:07 AM,1.365,2.5
PIBL1221K452,11:41:57 AM,1.61,0.51
PIID0324C115,11:41:43 AM,2.63,0.201
PIBL1221D147,11:41:33 AM,1.375,0.25
PIBL1221B069,11:40:00 AM,1.145,1
PIBL1221A024,11:39:55 AM,1.0895,13
PIBD0523C752,11:39:51 AM,2.075,500
PIBD0723D588,11:39:50 AM,2.1,500
PIBD0526D772,11:39:49 AM,4.165,0.5
PIBL1221E191,11:39:15 AM,1.415,5.556
PIBL1221H330,11:38:44 AM,1.585,70
PIBL1221B069,11:38:39 AM,1.14,20.039
PIBL1221E191,11:38:36 AM,1.4215,70
PIBL1221B069,11:37:54 AM,1.135,2
PIBL1221B069,11:37:33 AM,1.146,15.75
PIBL1221C120,11:37:27 AM,1.375,10
PIBL1221B069,11:36:37 AM,1.135,70
PIBL1221D165,11:36:36 AM,1.38,2
PIBL1221C095,11:36:35 AM,1.235,5
PIBL1221E191,11:36:34 AM,1.3975,50
PIBL1221I357,11:36:33 AM,1.55,2
PIBL1221B078,11:36:32 AM,1.15,5.069
PIBL1221I375,11:36:31 AM,1.5775,11.4673
PIBL1221I393,11:36:30 AM,1.58,25.8499
PIBL1221J409,11:36:28 AM,1.58,2.35
PIID0323B101,11:36:21 AM,2.085,3.5
PIBL1221B069,11:36:02 AM,1.14,0.5
PIBL1221K452,11:35:28 AM,1.61,3.06
PIBL1221D165,11:35:26 AM,1.398,22.7
PIBL1221A042,11:34:37 AM,1.13,40.397
PIBL1221E191,11:34:31 AM,1.423,55.9
PIBL1221A033,11:34:28 AM,1.15,13
PIBL1221K452,11:34:20 AM,1.61,4.1
PIBL1221B069,11:33:59 AM,1.141,43.69
PIBL1221B069,11:33:22 AM,1.146,48.53
PIBL1221K452,11:33:13 AM,1.61,0.532
PIBL1221B069,11:32:16 AM,1.141,4
PIBL1221D156,11:31:59 AM,1.375,0.81
PIBL1221B069,11:31:25 AM,1.145,2.004
PIBD0728D649,11:31:22 AM,4.25,10
PIBL1221E191,11:31:16 AM,1.415,19.75
PIBL1221J418,11:31:08 AM,1.608,2.022
PIBL1221B069,11:30:30 AM,1.14,8.01
PIBL1221K452,11:30:20 AM,1.605,0.505
PIBD2540I116,11:29:20 AM,5.105,500
PIBL1220L505,11:27:51 AM,1.065,1.4
PIBL1221A033,11:27:49 AM,1.125,5.42
PIID0324C115,11:27:23 AM,2.7,0.4
PIID0324C115,11:27:22 AM,2.7,0.5
PIID1023H046,11:27:14 AM,2.4,0.73
PIBL1221A033,11:27:02 AM,1.125,5
