time,isin,yield,vol
11:53:02 AM,PIBL1221D174,1.4,2.5
11:51:49 AM,PIBL1221A042,1.125,10
11:49:21 AM,PIBL1221D156,1.395,1.09
11:48:23 AM,PIBL1221A042,1.12,2.5
11:48:10 AM,PIBL1221A024,1.13,0.43
11:47:59 AM,PIBL1220K463,1.05,10
11:47:29 AM,PIID2032C014,5.1,1
11:45:28 AM,PIBL1221I393,1.596,5
11:45:25 AM,PIBL1221C102,1.38,16.06
11:43:21 AM,PIBL1221J418,1.596,1
11:41:47 AM,PIBL1221C120,1.405,104.72
11:41:32 AM,PIBL1220L505,1.0675,439.684
11:40:35 AM,PIBL1221D165,1.395,50
11:38:14 AM,PIBL1221A024,1.13,6.2
11:38:08 AM,PIBL1221E217,1.55,0.1
11:36:59 AM,PIBD0526D772,3.77,0.25
11:35:54 AM,PIBL1221A042,1.12,3
11:35:27 AM,PIBL1221F234,1.52,2.916
11:34:49 AM,PIBL1221B078,1.29,70
11:33:48 AM,PIID0525H130,3.165,0.02
11:33:01 AM,PIBL1220K445,1.055,39
11:33:01 AM,PIID0525H130,3.15,0.5
11:32:41 AM,PIBL1221C102,1.38,5.1198
11:32:16 AM,PIBL1221A042,1.125,4.5
11:31:51 AM,PIBL1221C111,1.385,5
11:31:37 AM,PIBL1221C111,1.385,5.04
11:30:47 AM,PIBL1221A042,1.125,6.1
11:30:24 AM,PIBL1221A024,1.13,10.046
11:30:23 AM,PIBL1221B069,1.19,1
11:29:45 AM,PIID2537J015,5.06,100
11:28:36 AM,PIBL1221B050,1.18,25
11:28:20 AM,PIBD2540I116,5,0.72
11:27:45 AM,PIBD0728H654,4.2,10.12
11:27:39 AM,PIBD0728H654,4.2,10.12
11:27:20 AM,PIBL1220K445,1.064,1
11:25:37 AM,PIBL1221D174,1.385,7.416
11:24:53 AM,PIBL1221E191,1.485,500
11:24:28 AM,PIID2537J015,5.07,100
11:23:16 AM,PIBL1221D174,1.4,0.8
11:19:55 AM,PIBL1220K445,1.064,1
11:18:23 AM,PIBL1221H349,1.65,10
11:17:35 AM,PIBL1221D174,1.4,"1,400.00"
11:16:42 AM,PIBL1221D174,1.405,100
11:16:21 AM,PIBL1221D165,1.395,100
11:16:00 AM,PIBL1221D174,1.405,100
11:15:37 AM,PIBL1221A024,1.13,1.001
11:15:01 AM,PIBD1031G662,4.77,50
11:15:00 AM,PIBD1031G662,4.77,50
11:14:32 AM,PIBL1221A042,1.125,1.79
11:14:00 AM,PIID0522L114,2.01,15
11:13:08 AM,PIBL1221C102,1.38,1.79
11:12:45 AM,PIBL1221D165,1.405,200
11:12:27 AM,PIBL1221C120,1.39,100
11:12:20 AM,PIBL1221F234,1.52,1.007
11:10:58 AM,PIBL1221B078,1.2,3
11:10:18 AM,PIBL1221E182,1.435,100
11:09:38 AM,PIBL1221A024,1.13,7
11:09:18 AM,PIBL1221F234,1.5,1.4
