isin,time,yield,vol
PIBD0526D772,3:59:55 PM,4.185,50
PIBD1031G662,3:59:14 PM,4.965,50
PIBD1031G662,3:58:49 PM,4.965,50
PIBD2540I116,3:56:51 PM,5.1,72.8
PIBD1031G662,3:54:55 PM,4.955,81
PIBD0522A747,3:54:45 PM,1.5,20
PIBD2540I116,3:54:41 PM,5.1,80
PIID0324C115,3:50:29 PM,2.75,0.5
PIID1023H046,3:48:47 PM,2.675,5.9
PIBL1221K461,3:43:44 PM,1.6125,2.03
PIBD0723D588,3:42:50 PM,2.275,158
PIBD0723D588,3:42:29 PM,2.2,150
PIID1023H046,3:41:28 PM,2.65,17
PIBD0522A747,3:41:20 PM,1.51,0.5
PIID1023H046,3:40:59 PM,2.65,20
PIBD0526D772,3:40:54 PM,4.175,100
PIBL1221D174,3:40:53 PM,1.405,5.02
PIBD1022L585,3:40:43 PM,2.125,5
PIID1023H046,3:40:28 PM,2.65,20
PIBD1031G662,3:38:20 PM,4.955,50
PIBD1031G662,3:37:14 PM,4.9675,100
PIBD0728D649,3:34:37 PM,4.48,6.6
PIBD2033C206,3:34:03 PM,4.95,32
PIBD1031G662,3:28:51 PM,4.955,3
PIBL1221E191,3:28:13 PM,1.43,0.7
PIBD0522A747,3:26:46 PM,1.5,400
PIBD0728H654,3:20:52 PM,4.52,10
PIBL1221K461,3:20:38 PM,1.613,25.05
PIBL1221B078,3:18:53 PM,1.2,6
PIBD1025I608,3:17:59 PM,3.5,4.48
PIBD1024H595,3:16:24 PM,3.2,3
PIBD1031G662,3:14:50 PM,4.965,100
PIBL1221B078,3:14:32 PM,1.155,0.6
PIBD1029A644,3:12:23 PM,4.63,30
PIBL1221B078,3:07:05 PM,1.1575,1
PIBL1221B078,3:06:57 PM,1.1575,2
PIBL1221B078,3:06:53 PM,1.1575,1.26
PIBL1221E191,3:06:47 PM,1.435,15.07
PIBL1221E191,3:06:43 PM,1.435,0.5
PIBL1221E191,3:06:37 PM,1.435,2.03
PIBL1221E191,3:06:31 PM,1.435,5.05
PIBL1221K461,3:06:21 PM,1.6125,12.89
PIBL1221K461,3:06:16 PM,1.6125,5.05
PIBL1221K461,3:06:01 PM,1.6125,2
PIBD1031G662,3:06:01 PM,4.96,50
PIBL1221E208,3:02:50 PM,1.425,0.33
PIBL1221E208,3:02:12 PM,1.425,5
PIBD1031G662,3:00:44 PM,4.96,50
PIBL1221E208,3:00:28 PM,1.4255,4.74
PIBL1221K461,2:59:47 PM,1.625,0.5
PIBL1221K461,2:59:22 PM,1.625,0.8
PIBL1221B078,2:58:26 PM,1.165,2
PIID2032C014,2:57:20 PM,5.37,1.15
PIBL1221B050,2:57:17 PM,1.1,1.242
PIBL1221C102,2:57:16 PM,1.29,20.051
PIBD0728H654,2:55:18 PM,4.6,60
PIID1023H046,2:54:30 PM,2.65,6
PIBD0723D588,2:54:18 PM,2.1,4
PIID0324C115,2:52:06 PM,2.8,0.5
PIBL1221K461,2:51:51 PM,1.61,2
PIBD1030G655,2:50:53 PM,4.8,4
PIBD1027E617,2:49:43 PM,4.35,150
PIBD1022G545,2:48:22 PM,1.625,0.4
PIBD0526D772,2:47:49 PM,4.15,50
PIID1026I057,2:46:24 PM,4.33,4
PIBL1221K452,2:45:51 PM,1.611,0.484
PIBL1221E182,2:44:48 PM,1.416,2.009
PIBL1221E208,2:44:11 PM,1.425,2.03
PIBL1221J418,2:41:16 PM,1.585,9
PIID0525H130,2:41:12 PM,3.25,50
PIBD1031G662,2:40:00 PM,4.97,10
PIBD0723D588,2:38:50 PM,2.15,3
PIBD2535L086,2:35:53 PM,5.125,50
PIID1023H046,2:35:16 PM,2.65,1
PIBL1221B078,2:35:08 PM,1.155,0.25
PIID0324C115,2:33:11 PM,2.765,50
PIBL1221B050,2:30:52 PM,1.146,5.035
PIBL1221C095,2:28:55 PM,1.2,5
PIID0324C115,2:28:39 PM,2.765,200
PIBL0621F030,2:26:29 PM,1.0675,7
PIBL1221C111,2:25:59 PM,1.325,14.588
PIBL1221C139,2:25:46 PM,1.32,4.3
PIBD0524J762,2:25:29 PM,3.1,25
PIID2537J015,2:24:56 PM,5.175,0.5
PIID2537J015,2:23:56 PM,5.175,1
PIID0324C115,2:23:51 PM,2.78,2.2
PIID0324C115,2:23:41 PM,2.78,0.7
PIID1023H046,2:22:39 PM,2.65,10
PIBL1221K452,2:22:23 PM,1.611,1
PIBL1221B069,2:21:54 PM,1.13,2
PIBL1221B069,2:21:31 PM,1.13,1.5
PIBL1221B069,2:21:13 PM,1.13,7
PIBL1221B069,2:20:36 PM,1.13,20
PIBL1221C111,2:19:56 PM,1.29,0.5
PIBL1221B078,2:19:55 PM,1.155,1
PIBL1221K461,2:19:54 PM,1.6125,1
PIBL1221K461,2:15:14 PM,1.6131,0.1
PIBL1221B078,2:13:06 PM,1.1575,10.206
PIBD1031G662,2:12:55 PM,4.95,50
PIBL1221E208,2:12:17 PM,1.425,8.08
PIBL1221E208,2:12:07 PM,1.425,0.1
PIBL1221C095,2:11:21 PM,1.275,5
PIBL1221D174,2:10:54 PM,1.405,0.5
PIBL1221A033,2:10:06 PM,1.15,29
PIBL1221K461,2:07:19 PM,1.6125,328
PIID0323B101,2:07:04 PM,2.097,5
PIBD0526D772,2:05:44 PM,4.1543,1
PIBD1029A644,2:04:38 PM,4.625,2
PIID1023H046,2:03:33 PM,2.65,4
PIID1026I057,2:03:29 PM,4.33,4
PIBD0728D649,2:03:25 PM,4.25,30.297
PIBL1221K461,2:02:55 PM,1.611,0.205
PIBL1221B069,2:02:48 PM,1.13,1
PIBL1221B069,2:02:48 PM,1.13,2.75
PIBL1220L505,2:02:22 PM,1.1,2.01
PIBL1221B078,2:02:08 PM,1.155,0.81
PIBL1221B078,2:02:03 PM,1.155,2.2
PIBL1221E191,2:01:51 PM,1.435,3.51
PIBL1221E191,2:01:46 PM,1.435,2.91
PIBL1221E191,2:01:42 PM,1.435,2.95
PIBL1221E191,2:01:36 PM,1.435,0.5
PIBL1221K461,2:01:32 PM,1.611,15.08
PIBD0526D772,2:00:50 PM,4.15,100
PIBD0526D772,2:00:47 PM,4.15,100
PIBD0526D772,2:00:45 PM,4.15,100
PIBL1221G297,11:59:09 AM,1.5,3
PIBL1221G304,11:58:33 AM,1.475,5.53
PIBL1221B050,11:57:14 AM,1.1,10
PIBL1221D156,11:55:38 AM,1.4,1.7
PIBD0524J762,11:54:09 AM,3.1,10
PIBD1031G662,11:53:42 AM,4.95,50
PIBD0524J762,11:53:24 AM,3.15,11.945
PIBD1031G662,11:53:16 AM,4.95,50
PIBL1221E208,11:52:46 AM,1.425,0.7
PIBD0728D649,11:52:07 AM,4.375,50
PIBL1221B069,11:51:58 AM,1.125,0.762
PIBL1221K452,11:51:54 AM,1.611,2.529
PIBL1221K461,11:51:18 AM,1.625,1.84
PIBD0728D649,11:50:49 AM,4.375,50
PIBL1221E191,11:50:40 AM,1.435,4.9
PIBL1221A015,11:50:22 AM,1.124,8.04
PIBD1031G662,11:50:08 AM,4.97,1
PIBD1027E617,11:49:56 AM,4.325,50
PIID1023H046,11:48:42 AM,2.75,1.215
PIID0324C115,11:48:40 AM,2.8,0.85
PIID0324C115,11:48:38 AM,2.7515,100
PIID0524C129,11:48:32 AM,2.825,50
PIBD1031G662,11:48:09 AM,4.96,50
PIID1023H046,11:47:33 AM,2.65,25
PIBL1221B069,11:47:31 AM,1.125,2.003
PIBD1031G662,11:47:28 AM,4.96,50
PIBD1031G662,11:47:20 AM,4.96,50
PIID0524C129,11:47:12 AM,2.8,50
PIBD1031G662,11:47:09 AM,4.96,50
PIBD1031G662,11:47:03 AM,4.96,50
PIBL1221K461,11:46:53 AM,1.61,20.237
PIBD0726B627,11:46:30 AM,4.17,200
PIBL1221K461,11:46:26 AM,1.611,5
PIID1023H046,11:46:20 AM,2.63,2.12
PIID0324C115,11:46:19 AM,2.765,500
PIID0324C115,11:46:18 AM,2.825,0.15
PIBL1221D147,11:46:00 AM,1.4,10
PIID0522L114,11:45:59 AM,2.055,45
PIID0524C129,11:45:53 AM,2.87,12.5
PIBL1221E208,11:45:52 AM,1.425,2
PIID0524C129,11:45:37 AM,2.8,50
PIBL1221B078,11:44:53 AM,1.155,2
PIBL1220L480,11:44:52 AM,1.05,300
PIBL1221I366,11:44:31 AM,1.58,15
PIBL1221B078,11:44:30 AM,1.155,3
PIID0525H130,11:44:21 AM,3.2,50
PIID0324C115,11:43:58 AM,2.775,50
PIBL1220K472,11:43:48 AM,1.0425,309.236154
PIID0324C115,11:43:26 AM,2.775,100
PIID0324C115,11:42:58 AM,2.8,50
PIID0524C129,11:42:56 AM,2.825,200
PIBL1221J427,11:42:42 AM,1.62,30
PIBL1221A015,11:41:42 AM,1.075,2
PIBD1031G662,11:41:27 AM,4.975,25
PIID0324C115,11:41:18 AM,2.8,100
PIBL1221E208,11:41:13 AM,1.4275,200
PIBL1221D174,11:39:54 AM,1.405,1.5
PIBD1031G662,11:39:48 AM,4.975,50
PIBL1221K461,11:39:05 AM,1.625,1.2
PIBD1031G662,11:38:58 AM,4.975,50
PIBL1220L499,11:38:43 AM,1.1,10
PIBL0621F030,11:38:25 AM,1.0675,8.8
PIBD1031G662,11:38:06 AM,4.975,100
PIBD0526D772,11:37:39 AM,4.15,50
PIBD1024H595,11:37:26 AM,3.25,37.6
PIBD0526D772,11:36:48 AM,4.15,50
PIID0324C115,11:36:26 AM,2.835,0.005
PIBL1221B078,11:36:09 AM,1.1575,30
PIBD0524J762,11:35:45 AM,3.25,25
PIBL1221B050,11:35:42 AM,1.1,1
PIBD0526D772,11:35:26 AM,4.15,50
PIBD0526D772,11:35:10 AM,4.15,50
PIBD0526D772,11:33:53 AM,4.15,50
PIBL1221E208,11:33:42 AM,1.425,1.005
PIBD0526D772,11:33:16 AM,4.165,100
PIBL1221E208,11:31:05 AM,1.425,1.5
PIBD0526D772,11:30:08 AM,4.17,30.686
PIBL1221A033,11:29:52 AM,1.1,1.1
PIBL1221K461,11:29:41 AM,1.61,1.466
PIBL1221E208,11:28:22 AM,1.43,7.1
PIBL1221B078,11:27:39 AM,1.1575,7.1
PIID0524C129,11:27:02 AM,2.87,18.8
PIBD0526D772,11:26:57 AM,4.17,50
PIBL1221K461,11:26:23 AM,1.611,5
PIBL0621F030,11:25:21 AM,1.075,200
PIID0324C115,11:24:02 AM,2.815,50
PIID1023H046,11:23:33 AM,2.65,5
PIID1023H046,11:22:10 AM,2.66,0.1
PIBL1221K452,11:21:45 AM,1.605,1
PIBL1221E208,11:21:29 AM,1.43,4.04
PIBL1221B078,11:21:12 AM,1.1575,90.3
PIBL1221B078,11:20:56 AM,1.155,1.5
PIBL1221E208,11:20:03 AM,1.425,1.5
PIBD0728D649,11:20:01 AM,4.4,38.887
PIID1026I057,11:19:39 AM,4.35,13
PIBL1221B078,11:19:35 AM,1.155,3.21
PIBD1031G662,11:18:52 AM,4.975,35
PIBD0728D649,11:18:50 AM,4.4,11.113
PIID0524C129,11:18:47 AM,2.87,8
PIID0524C129,11:18:44 AM,2.87,20
