isin,time,yield,vol
PIBL1221F234,2:54:56 PM,1.525,2.841
PIID0525H130,2:51:34 PM,3,4
PIID0522L114,2:51:14 PM,2.025,50
PIBD0728D649,2:51:00 PM,4.3,0.5
PIID2537J015,2:50:47 PM,5,0.5
PIID2537J015,2:50:45 PM,5,0.63
PIID2537J015,2:50:44 PM,5,0.5
PIID2537J015,2:50:43 PM,5,0.5
PIID0324C115,2:49:54 PM,2.5,1
PIID0324C115,2:49:48 PM,2.5,1
PIID0324C115,2:49:47 PM,2.5,1
PIID0324C115,2:49:46 PM,2.5,1
PIID0324C115,2:49:45 PM,2.5,1
PIBD0728D649,2:49:24 PM,4.3,100
PIBL1221A033,2:48:23 PM,1.1275,0.526
PIID0323B101,2:48:18 PM,2.225,0.3
PIBD1029A644,2:48:14 PM,4.75,5
PIID0525H130,2:47:29 PM,3.1475,43.7
PIBL1221I357,2:47:27 PM,1.58,0.275
PIBD1025I608,2:46:12 PM,3.65,10
PIBL1221A024,2:45:42 PM,1.15,4
PIBL1221C111,2:45:30 PM,1.395,2.01
PIBD1031G662,2:45:28 PM,4.905,0.5
PIBD1030G655,2:45:17 PM,4.825,20
PIBL0621F021,2:39:29 PM,1.08,0.5
PIBL1221A033,2:38:20 PM,1.1275,1.002
PIBL0621F021,2:37:40 PM,1.065,1.3
PIBD0728H654,2:37:24 PM,4.65,7
PIBL1221I357,2:36:14 PM,1.58,3
PIID0524C129,2:35:56 PM,2.6,0.4
PIID0522L114,2:35:48 PM,2.1,1.6
PIID0323B101,2:35:12 PM,2.2,1.2012
PIBD0523C752,2:34:52 PM,2.2,0.8
PIBD0728D649,2:34:50 PM,4.375,50
PIBD0728D649,2:34:48 PM,4.375,50
PIBL1221B078,2:34:45 PM,1.28,6.076
PIBL1221J427,2:34:24 PM,1.6,1.025
PIBD0723D588,2:33:19 PM,2.25,0.4
PIBL1221A033,2:33:12 PM,1.1275,5.029
PIBL0621F021,2:32:48 PM,1.08,0.5
PIBL0621F021,2:32:47 PM,1.08,1
PIBL1221A042,2:32:21 PM,1.15,1
PIBL1221D156,2:32:17 PM,1.3925,10
PIBL1221A015,2:32:16 PM,1.15,5.266
PIBL1221A015,2:32:14 PM,1.15,17.658
PIBD0723D588,2:31:33 PM,2.125,300
PIBL1221A033,2:30:06 PM,1.1825,45.5
PIBL1221F243,2:29:36 PM,1.535,9.855
PIBL1221D165,2:29:19 PM,1.3925,0.51
PIBL1221C095,2:29:18 PM,1.36,0.9
PIBL1221C095,2:29:16 PM,1.36,2.332
PIBD0728D649,2:28:06 PM,4.375,50
PIBL1221D147,2:27:26 PM,1.375,1
PIBD0728D649,2:26:40 PM,4.375,50
PIBL0621F021,2:25:53 PM,1.065,0.3
PIBD0728D649,2:25:22 PM,4.375,50
PIBD1031G662,2:25:07 PM,4.9,17
PIBL1220K454,2:25:01 PM,1.08,0.107
PIBL1221E208,2:24:40 PM,1.5,0.5
PIID0324C115,2:24:34 PM,2.55,100
PIBL1221I384,2:24:03 PM,1.58,1
PIBL1221I384,2:23:54 PM,1.59,1
PIBL1221C095,2:23:24 PM,1.355,16.2
PIBL1221C111,2:22:58 PM,1.395,0.55
PIBD1031G662,2:21:39 PM,4.905,1.5
PIID0323B101,2:20:27 PM,2.07,13.05
PIBL1221A015,2:20:08 PM,1.115,250
PIBL1221J418,2:20:00 PM,1.592,1.03
PIBL1221A033,2:19:37 PM,1.11,0.5
PIBD0522A747,2:19:37 PM,1.45,50
PIBL1221A033,2:19:36 PM,1.11,0.5
PIBL0621F021,2:19:04 PM,1.08,40.42
PIBL1221I357,2:19:04 PM,1.58,3
PIBL1221A033,2:18:40 PM,1.11,3.005
PIBL1221A015,2:17:29 PM,1.15,1.3
PIBL1221A033,2:17:28 PM,1.11,0.5
PIBL1221A015,2:17:27 PM,1.15,1
PIBL1221D156,2:14:52 PM,1.4,27.5
PIBL1221F234,2:14:36 PM,1.525,1.013
PIBL1221D165,2:14:18 PM,1.4,0.85
PIBD2031G171,2:13:46 PM,4.95,15
PIBD0728D649,2:13:34 PM,4.5,20
PIBL1221A015,2:12:21 PM,1.15,1
PIBL1221C095,2:12:07 PM,1.355,0.35
PIBL0621F021,2:10:36 PM,1.08,5
PIBL0621F021,2:10:35 PM,1.08,5
PIBL0621F021,2:10:33 PM,1.08,10
PIBL0621F021,2:10:29 PM,1.08,6.01
PIBL1221A024,2:09:40 PM,1.128,0.5
PIBL1221G297,2:09:32 PM,1.55,0.5
PIBL1221A042,2:09:30 PM,1.15,0.532
PIBL0621F021,2:08:37 PM,1.08,5.5
PIBL1221D165,2:08:23 PM,1.4,1.06
PIBL1221J427,2:08:03 PM,1.604,1.4
PIBL0621F021,2:07:41 PM,1.0825,4.3
PIBL1221C095,2:05:36 PM,1.355,24.2
PIBL1221A033,2:05:28 PM,1.15,0.46
PIBL1221A033,2:05:01 PM,1.15,1
PIBD1025I608,2:04:38 PM,3.4,0.79
PIBL1221J427,2:04:22 PM,1.625,1.25
PIBL1221J427,2:03:50 PM,1.6,0.438
PIID1023H046,2:01:43 PM,2.45,1
