isin,time,yield,vol
PIBD0723D588,3:55:46 PM,2.3,10
PIID0527L140,3:55:08 PM,4.14,500
PIBD0728D649,3:54:59 PM,4.2,100
PIBD0728D649,3:54:58 PM,4.2,50
PIBD0728H654,3:54:02 PM,4.25,50
PIBD0728H654,3:53:45 PM,4.25,50
PIBD0728H654,3:53:38 PM,4.25,50
PIBD0728H654,3:53:33 PM,4.25,50
PIID0323B101,3:53:03 PM,2.23,15
PIBD0728D649,3:52:22 PM,4.21,100
PIBD1031G662,3:52:10 PM,4.69,217
PIBD0522A747,3:51:53 PM,1.4,137.5
PIBL1221B069,3:51:36 PM,1.07,50
PIBD1022G545,3:51:30 PM,1.375,100
PIBL1221B069,3:51:29 PM,1.07,50
PIBD0728D649,3:50:33 PM,4.2125,50
PIBD1030G655,3:48:12 PM,4.67,3
PIBD0728D649,3:48:12 PM,4.2175,10
PIBD1030G655,3:48:10 PM,4.675,3
PIBL1221B069,3:45:58 PM,1.085,1.005
PIID0323B101,3:45:50 PM,2,24.1
PIBL1221C111,3:42:53 PM,1.05,5.01
PIBL1221B069,3:42:27 PM,1.085,3
PIBL1221F243,3:42:09 PM,1.425,3.01
PIBL1221A024,3:41:31 PM,1.05,2.55
PIBD0728H654,3:40:44 PM,4.25,0.15
PIBL1221A042,3:40:04 PM,1.035,18.1001
PIBL1221A024,3:39:49 PM,1.03,5.7392
PIID0527L140,3:39:30 PM,4.165,0.03
PIBD0728H654,3:38:42 PM,4.2,33.366
PIBD0728H654,3:38:06 PM,4.245,33.366
PIBL1221B069,3:36:22 PM,1.087,5
PIBD2536I097,3:35:43 PM,5.14,4
PIBD0323I252,3:35:35 PM,2.44,15
PIBD1029A644,3:35:23 PM,4.36,8
PIBL1221F243,3:34:53 PM,1.345,3.34
PIBD0728H654,3:33:51 PM,4.275,100
PIBL1221F243,3:33:00 PM,1.365,10
PIBD0728D649,3:31:57 PM,4.21,300
PIBL1221A042,3:31:46 PM,1.035,3
PIBD0526D772,3:31:45 PM,3.68,100
PIBL1221F234,3:31:24 PM,1.375,15.073
PIBD0728D649,3:29:45 PM,4.22,49.1
PIBD1025I608,3:29:22 PM,3.6,1.004
PIBL1221F243,3:28:04 PM,1.36,6.5
PIID0522L114,3:27:19 PM,2.2,18
PIBD0728H654,3:26:28 PM,4.23,26.325
PIBD1029A644,3:26:07 PM,4.385,10
PIBD1029A644,3:26:03 PM,4.385,10
PIBL1221L503,3:25:10 PM,1.63,20.242
PIBL1221E208,3:24:47 PM,1.36,3.567
PIBL1221C111,3:23:51 PM,1.12,10
PIID0323B101,3:23:35 PM,2.35,1
PIBD2540I116,3:21:38 PM,4.99,25
PIBD0522A747,3:19:57 PM,1.41,1.5
PIID0324C115,3:19:40 PM,2.6,0.05
PIBD0523C752,3:18:37 PM,2.3,25
PIBD2033C206,3:18:18 PM,5.15,9.364
PIBL1221L503,3:17:33 PM,1.63,0.75
PIBL1221C111,3:17:32 PM,1.1,3
PIBL1221H312,3:16:35 PM,1.45,4.53
PIBD0728D649,3:15:17 PM,4.22,100
PIBD0728H654,3:14:45 PM,4.25,2
PIID0525H130,3:14:42 PM,3.45,5.4
PIID0527L140,3:12:23 PM,4.15,9.75
PIBL1221G297,3:11:56 PM,1.45,1
PIBD0526D772,3:09:43 PM,3.69,2
PIBD0728D649,3:09:32 PM,4.23,3
PIBD1027E617,3:09:21 PM,4.14,3.5
PIBD0524J762,3:09:10 PM,3.02,3
PIBL1221C102,3:09:06 PM,1.135,1.01
PIBL1221C102,3:08:50 PM,1.125,1
PIBL1221A042,3:08:10 PM,1.05,1
PIBD0725D618,3:08:03 PM,3.65,2.2972
PIBL1221L503,3:04:22 PM,1.63,10.13
PIBL1221L503,3:04:19 PM,1.63,5.06
PIBL1221F243,3:03:38 PM,1.345,2.03
PIBL1221F243,3:03:19 PM,1.345,5.16
PIBL1221F243,3:03:15 PM,1.345,23.1
PIBL1221F243,3:03:13 PM,1.345,10.2
PIBL1221F243,3:02:38 PM,1.345,1.51
PIBL1221B069,3:02:34 PM,1.085,1.002
PIBL1221F243,3:02:25 PM,1.345,1.5
PIBL1221F243,3:02:23 PM,1.345,1.73
PIBD2033C206,3:01:05 PM,4.865,9
PIBL1221C111,3:00:41 PM,1.08,11.93
PIBL1221C111,3:00:40 PM,1.08,5.28
PIBL1221C111,3:00:38 PM,1.08,4.85
