isin,time,yield,vol
PIID0525H130,3:58:48 PM,2.835,0.206
PIBL1221A042,3:58:43 PM,1.25,5.014
PIBL1221A015,3:58:37 PM,1.0875,1.5
PIBD0723D588,3:58:20 PM,1.925,500
PIBD1025I608,3:58:12 PM,2.96,50
PIBD1025I608,3:58:11 PM,3.15,70
PIBD0723D588,3:57:27 PM,2.15,30
PIBL1221J409,3:57:26 PM,1.58,3.03
PIBL1221D147,3:57:02 PM,1.3875,1
PIID0324C115,3:56:03 PM,2.355,50
PIBD2540I116,3:55:37 PM,5.075,150
PIBL1221B050,3:54:58 PM,1.305,100
PIBL1221B050,3:54:55 PM,1.315,50
PIBL1221J409,3:54:32 PM,1.45,0.05
PIID0525H130,3:50:04 PM,2.84,100
PIBD2540I116,3:49:37 PM,5.075,100
PIBD1025I608,3:46:22 PM,3.05,21.79
PIBL1221C120,3:43:05 PM,1.425,3
PIID2537J015,3:40:10 PM,5.1,16.84
PIBD1031G662,3:40:06 PM,4.93,15.07
PIBD1031G662,3:39:45 PM,4.93,16.97
PIID0525H130,3:39:42 PM,3.05,0.1
PIBL1221A015,3:39:32 PM,1.1,1
PIBD1031G662,3:39:25 PM,4.93,0.49
PIBD1031G662,3:39:08 PM,4.93,5.37
PIID0324C115,3:39:04 PM,2.39,0.1
PIBD1031G662,3:38:51 PM,4.93,16.78
PIBD1031G662,3:38:34 PM,4.93,129.06
PIBD1031G662,3:38:07 PM,4.93,11.26
PIBD1031G662,3:37:44 PM,4.93,4.5
PIBD1031G662,3:37:35 PM,4.93,0.5
PIBD1030G655,3:36:24 PM,4.635,100
PIBD1030G655,3:34:59 PM,4.6,50
PIBD1031G662,3:33:20 PM,4.95,20
PIBL1221F261,3:31:55 PM,1.525,1.127
PIID1023H046,3:30:58 PM,2.25,50
PIID0522L114,3:29:39 PM,1.8,2.5
PIBD1031G662,3:28:56 PM,4.975,2.8
PIBL1221F234,3:28:48 PM,1.5,5.037
PIID0324C115,3:28:22 PM,2.375,1
PIBD0323I252,3:27:54 PM,2.25,25.87
PIBD2030E166,3:26:38 PM,4.9,5.66
PIBL1221C111,3:26:26 PM,1.39,0.502
PIBL1221E208,3:26:25 PM,1.5,1.006
PIBL1221B078,3:26:24 PM,1.32,0.501
PIBL1221J409,3:25:11 PM,1.581,0.5
PIBD0728D649,3:24:34 PM,4.3485,1.19
PIBD1031G662,3:24:29 PM,4.95,50
PIID0324C115,3:23:11 PM,2.3725,50
PIBD0728D649,3:23:09 PM,4.335,50
PIID0324C115,3:21:39 PM,2.335,100
PIBD1027E617,3:20:30 PM,3.825,0.26
PIID0522L114,3:18:29 PM,1.8,2
PIID0525H130,3:16:14 PM,3,0.97
PIBD0524J762,3:15:58 PM,2.7,0.19
PIBL1220J429,3:15:52 PM,1.02,20
PIBL1220K463,3:13:51 PM,1.07,1.01
PIID0525H130,3:12:27 PM,2.86,1.21
PIBL1221J409,3:11:07 PM,1.58,2.02
PIBL1221A042,3:10:54 PM,1.115,2
PIBD0728D649,3:10:29 PM,4.3385,50
PIBD0728H654,3:10:05 PM,4.35,40
PIBD0728H654,3:09:42 PM,4.365,40
PIBL1221D147,3:09:42 PM,1.3875,0.2
PIBL1221B069,3:09:40 PM,1.255,2.5
PIBL1221D147,3:09:35 PM,1.3875,1.5
PIBL1221A015,3:07:53 PM,1.0875,12.99
PIBL1221A015,3:07:52 PM,1.0875,1
PIBD2540I116,3:07:51 PM,5.02,25
PIBD0728D649,3:07:50 PM,4.335,50
PIBL1221A015,3:07:49 PM,1.0875,1
PIBL1221I393,3:06:56 PM,1.586,2.807
PIBD2031G171,3:05:46 PM,4.9,14.4
PIBL0621F030,3:04:43 PM,1.086,3.251
PIBL1221A024,3:03:06 PM,1.0955,350.774
PIBL1221C139,3:01:19 PM,1.391,5.058
PIBD0728D649,2:59:58 PM,4.3375,70
PIBD1031G662,2:59:10 PM,4.95,100
PIBD1031G662,2:59:07 PM,4.95,100
PIBD0726B627,2:57:23 PM,3.35,2
PIBL1221B087,2:55:31 PM,1.395,23.512
PIBL1221E208,2:55:12 PM,1.5,3.222
PIBD1028C635,2:55:07 PM,4.35,21.7
PIBL0621F021,2:54:33 PM,1.05,1.01
PIBL1221C095,2:54:14 PM,1.35,1.047
PIBL1221E208,2:53:43 PM,1.5,1.006
PIBL1220L499,2:51:53 PM,1.076,49.351
PIBL1221C120,2:51:51 PM,1.395,1
PIBL1221A033,2:48:31 PM,1.0975,4.25
PIBD1031G662,2:46:57 PM,4.925,100
PIBD1031G662,2:46:00 PM,4.92,50
PIBD2031G171,2:45:45 PM,4.7,20
PIBD1031G662,2:44:29 PM,4.92,100
PIBD2033C206,2:42:44 PM,4.83,0.55
PIBD2540I116,2:40:24 PM,5.025,25
PIBL1221C111,2:31:47 PM,1.39,1
PIBL1221A042,2:29:24 PM,1.115,1.002
PIBL1221C120,2:29:23 PM,1.395,1.004
PIBL1220L499,2:28:16 PM,1.076,47
PIBL1220K472,2:27:02 PM,1.075,71.606
PIBL1221B078,2:25:50 PM,1.32,0.5
PIBL0621F030,2:25:25 PM,1.086,40
PIBL1221I393,2:23:58 PM,1.586,0.5
PIBL1221I393,2:23:55 PM,1.586,1.01
PIBL1221I393,2:23:53 PM,1.586,2
