isin,time,yield,vol
PIID2537J015,3:52:02 PM,5.35,0.3
PIBD1031G662,3:40:47 PM,4.915,50
PIBD1031G662,3:38:49 PM,4.919,50
PIBD0728D649,3:37:14 PM,4.36,4
PIBL1221A015,3:30:04 PM,1.15,0.35
PIID0522L114,3:28:41 PM,2,5
PIID0324C115,3:28:04 PM,2.455,0.5
PIBD1031G662,3:27:57 PM,4.91,0.35
PIBD1031G662,3:27:50 PM,4.91,0.55
PIBD1031G662,3:27:45 PM,4.91,0.75
PIBD2031G171,3:27:25 PM,4.8755,50
PIID2537J015,3:24:17 PM,5.35,5
PIBD1031G662,3:24:12 PM,4.9175,20
PIBL1221D156,3:22:20 PM,1.3925,3
PIID0522L114,3:21:38 PM,2.05,1.35
PIBL1221J418,3:20:50 PM,1.585,10.11
PIBL1221J418,3:20:34 PM,1.585,0.5
PIBL1221J418,3:20:24 PM,1.585,1
PIBL1221J418,3:20:08 PM,1.585,2
PIBL1221D165,3:18:28 PM,1.425,300
PIBL1221D156,3:18:21 PM,1.3925,5.03
PIBL1221D156,3:18:18 PM,1.3925,0.8
PIBL1221G304,3:18:18 PM,1.565,318.68
PIBL1221D156,3:18:14 PM,1.3925,1
PIBD2031G171,3:16:08 PM,4.875,50
PIBL1221A033,3:15:23 PM,1.095,1.5
PIBL1221A033,3:15:20 PM,1.095,1
PIBL1221A033,3:15:17 PM,1.095,1.5
PIBL1221D156,3:13:40 PM,1.425,0.5
PIBD1031G662,3:11:50 PM,4.905,0.07
PIID1023H046,3:08:31 PM,2.4,1
PIBL1220J438,3:07:45 PM,1.05,15
PIBD0723D588,3:07:22 PM,2.05,0.02
PIBD0728D649,3:07:03 PM,4.36,10
PIBD0323I252,3:05:51 PM,2.25,0.02
PIBD2540I116,3:05:34 PM,5.02,10
PIBD1031G662,3:05:26 PM,4.91,0.4
PIID2537J015,3:04:30 PM,5.35,5
PIBD0724D595,3:02:55 PM,2.6,0.02
PIBD1027E617,3:02:12 PM,4,50
PIBD1031G662,3:02:10 PM,4.9125,50
PIBD1027E617,3:01:59 PM,4,50
PIBD2540I116,2:59:43 PM,5,3.11
PIBL1221A024,2:58:59 PM,1.105,0.25
PIBL1221D156,2:58:12 PM,1.39,5.025
PIBL1220L505,2:57:26 PM,1.11,0.4
PIBD1031G662,2:55:37 PM,4.915,50
PIBD2540I116,2:55:33 PM,5.035,3.11
PIBL1221J409,2:50:39 PM,1.58,2.5
PIBL1221F243,2:47:33 PM,1.535,2.05
PIBL1221J418,2:47:02 PM,1.585,4.3
PIBL1221A024,2:46:12 PM,1.095,0.83
PIBL1221C139,2:45:43 PM,1.39,0.8
PIBL1221C111,2:45:37 PM,1.39,64
PIBL1221A033,2:43:05 PM,1.095,15.029
PIBD1027E617,2:42:18 PM,3.9,100
PIBL0621F021,2:41:55 PM,1.125,2
PIBL1221F243,2:41:52 PM,1.6,2
PIBD1031G662,2:38:18 PM,4.91,5
PIBL1221D147,2:37:13 PM,1.391,3
PIBD1027E617,2:36:26 PM,4,30
PIBL1221E182,2:35:33 PM,1.5,0.13
PIBL1221A024,2:34:43 PM,1.105,2.6
PIBD1025I608,2:34:39 PM,3.2,30
PIBD1029A644,2:34:31 PM,4.65,10
PIBL1221A033,2:32:54 PM,1.095,2
PIBL1221J418,2:31:15 PM,1.585,0.2
PIBL1220L499,2:29:58 PM,1.075,4
PIBL1221D165,2:29:45 PM,1.475,6.08
PIBL0621F021,2:29:01 PM,1.08,6.2
PIBL1221C095,2:27:56 PM,1.355,22
PIBL1221A024,2:26:56 PM,1.096,1
