isin,time,yield,vol
PIBL1221D174,3:56:02 PM,1.385,350
PIBD2033C206,3:55:30 PM,4.85,1
PIBL1221C102,3:54:49 PM,1.4,90
PIBL1221C095,3:53:53 PM,1.36,0.5
PIBD0723D588,3:52:03 PM,2.26,198.8
PIBL1221A033,3:51:35 PM,1.12,2
PIBL1221D165,3:51:34 PM,1.395,12
PIBL1221J427,3:45:05 PM,1.585,12.12
PIBL1221C120,3:40:48 PM,1.39,16
PIID0324C115,3:40:27 PM,2.49,30
PIBL1221A015,3:38:14 PM,1.09,3.005
PIBL1221C095,3:37:28 PM,1.355,1
PIID0525H130,3:35:00 PM,3.225,0.035
PIBL1221E182,3:34:36 PM,1.435,1
PIBD0728D649,3:31:48 PM,4.35,50
PIBL1221J427,3:29:49 PM,1.605,4.621
PIBL1221A024,3:25:09 PM,1.13,44
PIBL1221A015,3:21:29 PM,1.09,7.01
PIBD2540I116,3:19:23 PM,5.03,1
PIBL1220K463,3:17:51 PM,1.06,50
PIBL1221J427,3:16:50 PM,1.605,1.1
PIBL1221A033,3:16:25 PM,1.12,1.5
PIBL1221A024,3:15:49 PM,1.13,1.626
PIBL1221A042,3:15:08 PM,1.125,5.031
PIBL1221A042,3:13:35 PM,1.125,1.521
PIBL1221D165,3:11:16 PM,1.395,11.54
PIBL1221A033,3:11:01 PM,1.12,20.19
PIBL1221A033,3:10:59 PM,1.12,5.01
PIBL1221A033,3:10:56 PM,1.12,2
PIBL1221A033,3:09:47 PM,1.12,7.53
PIBL1221A033,3:09:36 PM,1.115,10.018
PIBL1221J427,3:09:09 PM,1.605,0.9
PIBL1221B050,3:07:15 PM,1.21,0.521
PIBL1220L480,3:05:50 PM,1.085,100
PIBL1221C111,3:01:45 PM,1.39,13.667
PIBL1221C111,3:01:04 PM,1.38,2.733
PIID1023H046,3:00:26 PM,2.45,7
PIBL1221D165,2:59:47 PM,1.392,1.5
PIBL1221A024,2:59:33 PM,1.1,0.7
PIID2537J015,2:58:43 PM,5.05,2
PIBL1221B069,2:58:24 PM,1.256,21.403
PIID1023H046,2:57:30 PM,2.52,7
PIBL1221D174,2:57:22 PM,1.39,137.9
PIBL1221D174,2:57:16 PM,1.39,0.55
PIBL1221E217,2:56:05 PM,1.501,15.764
PIBL1221A033,2:50:13 PM,1.12,0.196
PIBL1220K463,2:48:56 PM,1.0635,100
PIBD0728D649,2:46:38 PM,4.35,0.5
PIBL1220K463,2:43:09 PM,1.0635,100
PIBL1221J427,2:43:08 PM,1.605,5
PIBL1220K463,2:42:42 PM,1.06,30.146
PIBL1221A033,2:41:28 PM,1.125,150.32
PIID0324C115,2:41:24 PM,2.47,1
PIBL1221E217,2:40:58 PM,1.5,3.02
PIBL1221B050,2:40:09 PM,1.215,63.739
PIBL1220K463,2:38:56 PM,1.06,50
PIBL1221A015,2:38:49 PM,1.13,21.045
