isin,time,yield,vol
PIBD0728D649,3:42:36 PM,4.35,15
PIBD1031G662,3:41:51 PM,4.89,15
PIBL1221K461,3:41:10 PM,1.635,150
PIID2537J015,3:40:57 PM,5.05,10
PIBL1221B078,3:40:06 PM,1.15,3.314
PIBL1221A033,3:38:57 PM,1.16,2.141
PIBL1221A033,3:38:28 PM,1.16,3.851
PIBL1221K470,3:38:07 PM,1.635,1.01
PIID1023H046,3:36:45 PM,2.875,25
PIBD0726B627,3:36:13 PM,4.02,10
PIBL1221C139,3:36:06 PM,1.32,5
PIBL1221E217,3:36:01 PM,1.435,2.15
PIBL1221F234,3:33:40 PM,1.48,150
PIBL1221B078,3:32:27 PM,1.165,1.217
PIBD1031G662,3:32:07 PM,4.875,235
PIBD1031G662,3:30:12 PM,4.85,50.21
PIBL1221K470,3:29:51 PM,1.635,0.5
PIBL1221E182,3:29:31 PM,1.425,0.5
PIBD1031G662,3:28:56 PM,4.85,63.09
PIBD1031G662,3:28:26 PM,4.85,1.91
PIBD1031G662,3:28:05 PM,4.85,20.61
PIBD1031G662,3:27:39 PM,4.85,62.5
PIBD1031G662,3:27:17 PM,4.85,443.24
PIBD1031G662,3:26:48 PM,4.85,41.21
PIBD1031G662,3:26:23 PM,4.85,15.63
PIBD1031G662,3:26:15 PM,4.85,1.6
PIID0324C115,3:25:54 PM,2.94,72.7
PIBL1221B087,3:25:33 PM,1.2,9.482
PIBD0728D649,3:25:22 PM,4.275,26.91
PIBD0728D649,3:24:35 PM,4.275,32.55
PIID0323B101,3:24:25 PM,2.2,10
PIBD0728D649,3:24:19 PM,4.275,0.42
PIBD0728D649,3:23:49 PM,4.275,11.04
PIBD0728D649,3:23:39 PM,4.275,35.63
PIBD0728D649,3:23:07 PM,4.275,148.188647
PIBL1221E217,3:23:02 PM,1.435,20.1
PIID0522L114,3:22:57 PM,2.085,5
PIBD0526D772,3:22:32 PM,4.01,1
PIBD0728D649,3:22:24 PM,4.275,24.21
PIBD0728D649,3:22:01 PM,4.275,8.64
PIBD0728D649,3:21:13 PM,4.275,0.37
PIBD0728D649,3:20:45 PM,4.25,18.69
PIBL1221D165,3:20:24 PM,1.43,25
PIBD0728D649,3:20:16 PM,4.25,22.6
PIBD0728D649,3:19:52 PM,4.25,0.29
PIBD0728D649,3:19:32 PM,4.25,7.67
PIBD0728D649,3:19:14 PM,4.25,24.74
PIBD1027E617,3:18:52 PM,4.2375,10
PIBD0728D649,3:18:45 PM,4.25,102.95
PIID0522L114,3:18:37 PM,2.125,6
PIBD0728D649,3:18:15 PM,4.25,16.81
PIBD0728D649,3:18:12 PM,4.25,6
PIBD0728D649,3:18:09 PM,4.25,0.25
PIBL1221K452,3:15:32 PM,1.605,5.5
PIBL1221I375,3:15:30 PM,1.6,0.553
PIBL1221K470,3:13:52 PM,1.62,12.14
PIBL1221E217,3:13:46 PM,1.435,5.06
PIBL1221A033,3:11:36 PM,1.15,8
PIBL1221B087,3:11:11 PM,1.165,20.24
PIBL1221B087,3:11:07 PM,1.165,13.61
PIBL1221A015,3:11:04 PM,1.15,0.5
PIBL1221B087,3:11:02 PM,1.165,10.12
PIBL1221B087,3:10:56 PM,1.165,2.51
PIID0323B101,3:10:55 PM,2.3,0.7
PIID0323B101,3:10:45 PM,2.3,0.67
PIBL1221C139,3:10:42 PM,1.3,0.55
PIBL1221E191,3:09:04 PM,1.475,14
PIID0323B101,3:07:35 PM,2.3,272
PIBD1031G662,3:07:29 PM,4.85,300
PIBL1221E217,3:06:06 PM,1.485,101.59
PIBL1221E217,3:03:46 PM,1.445,5.07
PIID0324C115,3:03:06 PM,2.94,20.386
PIBL1221C102,3:00:58 PM,1.285,1.004
PIID0524C129,3:00:44 PM,2.99,11.35
PIBD0723D588,2:58:36 PM,2.3,10.19
PIBD0728D649,2:57:33 PM,4.35,100
PIBD1024H595,2:57:10 PM,3.4,0.132
PIBD0728H654,2:57:03 PM,4.3,1
PIBL1221F261,2:55:50 PM,1.525,19
PIBD0526D772,2:53:30 PM,4.06,3
PIBD0524J762,2:53:05 PM,3.2,1
PIBL1221K470,2:52:47 PM,1.635,0.5
PIBL1221B087,2:49:31 PM,1.165,1
PIBL1221H321,2:47:58 PM,1.565,2
PIBL1221F261,2:47:47 PM,1.525,186
PIID0525H130,2:47:38 PM,3.55,1.12
PIBL1221B087,2:47:30 PM,1.165,1.9
PIBL1221C102,2:46:19 PM,1.275,22
PIBL1221B087,2:45:08 PM,1.17,20.138
PIID0524C129,2:43:36 PM,2.99,125.7
PIBL1221K470,2:43:07 PM,1.635,1
PIBD0728H654,2:42:43 PM,4.375,1
PIBL1221E208,2:42:24 PM,1.47,0.213
PIBL1221B069,2:41:39 PM,1.16,7.002
PIBL1221E208,2:41:19 PM,1.47,0.628
PIBL1221E217,2:37:55 PM,1.445,4
PIBL1221B078,2:37:39 PM,1.165,3.1
PIBL1221A042,2:36:22 PM,1.075,0.1
PIBL1221G304,2:35:46 PM,1.475,0.3
PIBD0523C752,2:35:18 PM,2.4,45
PIID0522L114,2:34:42 PM,2.125,10
PIBL1221C102,2:34:37 PM,1.325,0.15
PIBL1221E208,2:34:13 PM,1.44,4.019
PIBD0523C752,2:33:12 PM,2.4,4
PIBD0523C752,2:33:10 PM,2.4,0.25
PIBD0523C752,2:33:09 PM,2.4,8.212
PIBL1221K470,2:32:48 PM,1.635,0.61
PIBL1221E217,2:32:39 PM,1.445,15
PIBL1221E217,2:32:16 PM,1.445,5.28
PIID1023H046,2:31:51 PM,2.875,3.55
PIBL1221J427,2:31:29 PM,1.595,2
PIBD2540I116,2:31:13 PM,5.04,5
PIBL1221D174,2:31:03 PM,1.38,5
PIBD0523C752,2:30:28 PM,2.4,3.5
PIBD2540I116,2:29:40 PM,5.0485,5
PIBL1221G297,2:29:36 PM,1.555,432
PIBL1221C139,2:29:05 PM,1.3,5
PIBL1221B069,2:28:28 PM,1.16,0.9
PIBL1221A024,2:28:26 PM,1.05,2.206
PIBL1221K470,2:27:48 PM,1.615,1
PIBD0526D772,2:27:08 PM,4.025,25
PIBL1221D156,2:27:07 PM,1.37,8.1
PIBL1221E191,2:26:20 PM,1.435,4.5
PIBD1022L585,2:26:00 PM,2.23,20.2
PIBL1221B087,2:23:23 PM,1.165,3
PIID0522L114,2:22:13 PM,2.125,5.5
PIBL1221I393,2:21:04 PM,1.55,1.1
PIBL1221E217,2:20:10 PM,1.445,1
PIBD0724D595,2:19:44 PM,3.05,0.8
PIBD0522A747,2:18:17 PM,1.45,4.17
PIBD0522A747,2:17:55 PM,1.575,10
PIBL1221B078,2:17:17 PM,1.17,6.011
PIBD2033C206,2:17:10 PM,5,4
PIBD1022I570,2:17:08 PM,1.55,3
