isin,time,yield,vol
PIBL1221D156,11:45:20 AM,1.35,3
PIBL1221B078,11:42:48 AM,1.155,30.059
PIBL1221B050,11:41:33 AM,1.165,0.618
PIBL1221K461,11:34:17 AM,1.6195,8.095
PIBL1221K461,11:32:19 AM,1.6185,20.43
PIBL1221D174,11:32:01 AM,1.405,2.154
PIBL1221D174,11:32:00 AM,1.405,0.833
PIID1023H046,11:31:42 AM,2.5975,3
PIBL1221B078,11:31:34 AM,1.1575,21
PIBD0526D772,11:31:01 AM,4.0375,5.4
PIBD0724D595,11:30:29 AM,2.85,12.107
PIBL1221E208,11:30:20 AM,1.43,2.5
PIBL1221B078,11:30:18 AM,1.155,12
PIBL1221B050,11:30:02 AM,1.12,9.2
PIID2537J015,11:29:36 AM,5.1,0.5
PIBL1221H312,11:29:31 AM,1.52,10.07
PIBL1221E191,11:29:21 AM,1.435,4.72
PIBL1221E217,11:29:04 AM,1.425,1.5
PIBD1027E617,11:29:00 AM,4.1995,6.93
PIID0324C115,11:28:40 AM,2.79,15
PIBD0728D649,11:28:34 AM,4.365,28.42
PIBD1022L585,11:28:19 AM,2.025,0.108
PIBL1221B078,11:26:53 AM,1.155,1.8
PIBL1221K461,11:25:09 AM,1.615,10.115
PIID2537J015,11:24:44 AM,5.125,1.5
PIBD0728D649,11:24:37 AM,4.3275,40
PIBL1221B050,11:22:59 AM,1.15,0.5
PIBL1221C139,11:22:58 AM,1.32,1
PIBL1221B078,11:20:26 AM,1.155,0.308
PIBD0728D649,11:19:42 AM,4.255,0.55
PIBL1221E208,11:19:42 AM,1.43,4.01
PIID0522L114,11:19:01 AM,2.06,5
PIBL1221E191,11:18:54 AM,1.4275,10
PIBL1221E191,11:17:00 AM,1.43,1
PIBL1221B078,11:16:38 AM,1.155,25.049
PIBL1221C102,11:16:25 AM,1.3,2
PIBL1221K461,11:15:58 AM,1.6185,1
PIBD1027E617,11:15:39 AM,4.2,41
PIBL1221B078,11:15:28 AM,1.155,1.5
PIBD1024H595,11:11:13 AM,3.2,3.983
PIBL1221B069,11:11:09 AM,1.13,16
PIBD0728H654,11:10:22 AM,4.355,100
PIBD0526D772,11:09:34 AM,4.025,20.4
PIBD0526D772,11:09:26 AM,4.025,150
PIBD0526D772,11:09:02 AM,4.025,50
PIBD0728D649,11:08:50 AM,4.325,50
PIBD0526D772,11:08:39 AM,4.025,50
PIBD0728H654,11:08:33 AM,4.355,100
PIBL0621F030,11:07:59 AM,1.065,26.8103
PIBD0728D649,11:07:43 AM,4.325,50
PIBD0728D649,11:07:38 AM,4.325,50
PIBL1221A033,11:07:35 AM,1.1,2.7832
PIBL1221A015,11:07:12 AM,1.075,3.949
PIID1023H046,11:07:11 AM,2.65,2
PIBD0526D772,11:07:02 AM,4.025,150
PIBL1220L499,11:06:53 AM,1.06,16.51
PIBD0526D772,11:06:50 AM,4.025,150
PIBD0526D772,11:06:34 AM,4.03,50
PIBL1221J409,11:04:27 AM,1.55,50
PIBL1221D165,11:04:08 AM,1.399,11.66
PIBD2540I116,11:02:45 AM,5.02,5
PIBL1221K461,11:02:45 AM,1.6175,1.011
PIBL1221E191,11:02:41 AM,1.4275,10.5
PIBD0728D649,11:01:55 AM,4.325,4
PIBL1221B078,11:01:45 AM,1.155,3.12
PIBL1221K461,11:01:41 AM,1.615,4
PIBL1221E191,11:01:28 AM,1.435,0.51
PIBL1221B078,11:01:12 AM,1.155,3
PIBL1221E217,10:59:51 AM,1.43,0.5
PIBL1221E208,10:57:31 AM,1.41,5
PIBL1220L499,10:55:26 AM,1.085,600
PIBL1220L480,10:54:29 AM,1.085,322.4476
PIBL1221B050,10:54:24 AM,1.1,2.023
PIID0324C115,10:53:16 AM,2.76,10
PIBL1221E191,10:51:48 AM,1.4275,5.025
PIID0525H130,10:50:34 AM,3.375,1
PIBL1221B078,10:49:10 AM,1.155,1.642
PIID1023H046,10:44:45 AM,2.65,0.5
PIID0324C115,10:42:48 AM,2.775,300
PIBL1221B069,10:42:37 AM,1.125,2
