isin,time,yield,vol
PIID0324C115,3:59:01 PM,2.395,0.5
PIBD2031G171,3:58:43 PM,4.905,3
PIBL1221J418,3:56:20 PM,1.5825,1.01
PIBL1221A024,3:55:36 PM,1.0925,1.5
PIBL1221D156,3:55:29 PM,1.3905,1.01
PIBL1221C120,3:54:39 PM,1.395,3
PIBL1221C111,3:54:10 PM,1.39,4.01
PIBL1221C095,3:53:24 PM,1.35,1.02
PIID1023H046,3:51:46 PM,2.35,2
PIBL1220K472,3:51:15 PM,1.0625,36.512
PIBL1220K472,3:50:51 PM,1.085,116.325
PIID0324C115,3:50:46 PM,2.2,0.5
PIBL1220K472,3:49:57 PM,1.0625,80.058
PIID0324C115,3:49:21 PM,2.395,50
PIBL1221A015,3:49:08 PM,1.075,53.79
PIBL1220K445,3:47:57 PM,1.06,5.3196
PIBL1221B050,3:46:28 PM,1.25,6
PIBD0728D649,3:46:02 PM,4.395,30
PIBL1220L499,3:45:59 PM,1.0805,75
PIBL1220K463,3:45:01 PM,1.06,26.4
PIBL1221I384,3:44:56 PM,1.58,1.42
PIBL1220L499,3:43:41 PM,1.0805,75
PIBL1221A042,3:40:21 PM,1.12,0.5
PIBL1221A042,3:40:19 PM,1.12,0.5
PIBL1221A042,3:40:18 PM,1.12,0.5
PIID0525H130,3:37:27 PM,3.1,0.005
PIBL1221C111,3:36:46 PM,1.39,1.34
PIBD1031G662,3:36:25 PM,4.93,50
PIBL1221A033,3:33:23 PM,1.145,1.01
PIBD0725D618,3:32:24 PM,3.205,2.4
PIBD0523C752,3:30:37 PM,1.9825,1
PIID0522L114,3:27:48 PM,2.125,0.2
PIBD1031G662,3:25:41 PM,4.93,50
PIBD1031G662,3:24:39 PM,4.93,30
PIBL1221H330,3:23:35 PM,1.575,0.35
PIBL1221J418,3:23:08 PM,1.5825,2.23
PIBL1221B050,3:23:02 PM,1.255,8
PIBL1221J418,3:23:00 PM,1.5825,7.58
PIBL1221D156,3:21:49 PM,1.3905,2.03
PIBL1221D156,3:21:46 PM,1.3905,20.17
PIBL1221D156,3:21:42 PM,1.3905,3.05
PIBL1221D156,3:21:40 PM,1.3905,0.5
PIBL1221D156,3:21:36 PM,1.3905,10.05
PIBL1221D156,3:21:33 PM,1.3905,5.45
PIBL1221B078,3:20:05 PM,1.35,2.71
PIBL1221E217,3:19:09 PM,1.53,"1,000.00"
PIBL1221A024,3:18:49 PM,1.0925,1.5
PIBL1221A024,3:18:44 PM,1.0925,5.02
PIBL1221A024,3:18:40 PM,1.0925,2.91
PIBL1221A024,3:18:36 PM,1.0925,20.46
PIBL1221A024,3:18:32 PM,1.0925,2.1
PIBL1221E208,3:18:29 PM,1.5,0.49
PIBL1221A024,3:18:27 PM,1.0925,8.07
PIBL1221A024,3:17:26 PM,1.0925,1
PIBD1031G662,3:17:00 PM,4.92,10
PIBD2540I116,3:16:55 PM,5.1,50
PIBL1220K472,3:16:24 PM,1.0625,1.5
PIBL1221A042,3:15:36 PM,1.12,7
PIBL1221C095,3:15:36 PM,1.35,2.5
PIBL1221J418,3:15:18 PM,1.5825,1
PIBL1221A024,3:15:12 PM,1.0925,0.51
PIBL1221E208,3:14:36 PM,1.5,5.22
PIBL1221E182,3:14:29 PM,1.435,5
PIBL1220K463,3:13:41 PM,1.07,7
PIBL1220L499,3:13:35 PM,1.08,0.25
PIBD2540I116,3:13:34 PM,5.075,15.66
PIBL1220K472,3:12:57 PM,1.0625,1.003
PIBL1221I366,3:11:51 PM,1.575,30.415
PIBD2540I116,3:10:21 PM,5.075,20
PIBD0526D772,3:10:18 PM,3.625,50
PIID1023H046,3:10:16 PM,2.3,2
PIBL1221B078,3:09:40 PM,1.355,0.392
PIBL1220K463,3:08:32 PM,1.075,100
PIBL1220K463,3:07:04 PM,1.075,100
PIBD1031G662,3:06:13 PM,4.93,3
PIBL1220L480,3:04:51 PM,1.09,3
PIBL1221J418,3:03:42 PM,1.58,0.011
PIBD0526D772,3:01:14 PM,3.585,10
PIBL1221D165,3:01:07 PM,1.46,170.57
PIBL1221C139,3:01:01 PM,1.395,0.35
PIBD0526D772,3:00:37 PM,3.6,10
PIBL1221A042,3:00:21 PM,1.15,3.2
PIBD0728D649,3:00:14 PM,4.375,10
PIBD1028C635,3:00:08 PM,4.45,55.6
PIBL1221E208,2:59:17 PM,1.5,4.09
PIBL1221H312,2:59:16 PM,1.575,9
PIBL1220L499,2:58:23 PM,1.08,2.142
PIBL1221F225,2:56:36 PM,1.55,3.827
PIBD1030G655,2:56:27 PM,4.685,350
PIBD0728H654,2:56:12 PM,4.4,0.6
PIBD2041G241,2:55:17 PM,5,0.55
PIBD0728D649,2:55:16 PM,4.25,700
PIID0324C115,2:54:12 PM,2.35,2
PIBL1221A024,2:53:29 PM,1.085,20.903
PIBL1221J418,2:53:23 PM,1.59,2
PIID1026I057,2:53:11 PM,3.73,0.51
PIBL1221D156,2:52:32 PM,1.391,1
PIBL1221A024,2:51:16 PM,1.09,20.903
PIBL1220L499,2:51:01 PM,1.08,3
PIID0525H130,2:50:45 PM,3.05,30
PIBL1221I393,2:48:53 PM,1.59,5
PIID1026I057,2:48:23 PM,3.73,1.3
PIBD2535L086,2:45:40 PM,5.25,50
PIBL1221B078,2:41:45 PM,1.355,1.2
PIBL0621F021,2:40:57 PM,1.08,3.3
PIBL1221A024,2:40:46 PM,1.0925,5
PIBL1220K472,2:40:10 PM,1.0625,5
PIBL1221J418,2:39:56 PM,1.58,1
PIBL1221A033,2:39:28 PM,1.09,0.5
PIBL1220K445,2:39:23 PM,1.06,0.4016
PIBL1221A015,2:38:59 PM,1.09,2
PIBL1220L480,2:38:57 PM,1.09,0.8
PIBL1221B050,2:38:37 PM,1.25,5
PIBL1221E217,2:38:32 PM,1.535,0.23
PIBL1221C120,2:38:27 PM,1.42,500
