isin,time,yield,vol
PIBD1031G662,3:57:17 PM,4.805,25
PIBD0728H654,3:54:53 PM,4.17,300
PIBL1221B050,3:54:41 PM,1.1255,1.067
PIBD0728D649,3:54:06 PM,4.08,20
PIBD0728H654,3:53:46 PM,4.3,500
PIBL1221K443,3:53:43 PM,1.61,1.01
PIBD0728D649,3:53:37 PM,4.2,400
PIBL1221E182,3:53:36 PM,1.3875,3.39
PIBL1221E182,3:53:31 PM,1.3875,4.02
PIBL1221E182,3:53:13 PM,1.3875,10.1
PIBL1221E182,3:53:08 PM,1.3875,2.03
PIID0323B101,3:51:21 PM,2.085,15
PIBL1221B050,3:51:13 PM,1.1255,6.25
PIBL1221B050,3:51:08 PM,1.1255,0.76
PIBD0728D649,3:51:06 PM,4.07,2
PIBD1028C635,3:46:55 PM,4.3,73
PIBL1221B050,3:45:59 PM,1.1255,0.921
PIBL1221B050,3:45:40 PM,1.1255,271.443
PIBD0526D772,3:44:33 PM,3.79,50
PIBL1221C095,3:43:50 PM,1.35,1
PIBL1221H321,3:41:35 PM,1.5775,200
PIID0324C115,3:41:13 PM,2.45,0.5
PIBL1220L505,3:39:05 PM,1.055,156
PIBL1221B050,3:38:57 PM,1.1259,200
PIBL1221A033,3:34:41 PM,1.15,99.5
PIBL1221B050,3:34:34 PM,1.135,3.2298
PIID0324C115,3:34:14 PM,2.5,0.01
PIBL1221F252,3:34:00 PM,1.545,5.36
PIBL1221K443,3:32:32 PM,1.605,0.512
PIID0525H130,3:31:54 PM,3.25,0.05
PIID0525H130,3:31:50 PM,3.06,25.33
PIBD0728D649,3:31:46 PM,4.05,0.55
PIBL1221C111,3:29:33 PM,1.37,1.9
PIBL1221B078,3:28:18 PM,1.19,1
PIBL1221B078,3:28:16 PM,1.19,0.7
PIBL1221B078,3:28:15 PM,1.19,0.8
PIBD0728D649,3:26:29 PM,4.085,200
PIBL1221H330,3:25:36 PM,1.575,5.08
PIBL1221F243,3:25:12 PM,1.51,0.5
PIBL1221F234,3:24:54 PM,1.49,1
PIBL1221B050,3:24:45 PM,1.1255,1.05
PIBL1221A033,3:24:02 PM,1.11,35.68
PIBL1221B050,3:22:32 PM,1.11,1.09
PIBL1221E182,3:20:38 PM,1.4,0.7
PIBL1221K443,3:20:25 PM,1.615,0.5
PIBL1221K443,3:18:58 PM,1.61,1.01
PIBL1221K443,3:18:40 PM,1.61,2.02
PIBL1221K443,3:18:35 PM,1.61,1.01
PIBL1221K443,3:18:30 PM,1.61,1.8
PIBL1221K443,3:18:24 PM,1.61,7.1
PIBL1221K443,3:18:17 PM,1.61,0.5
PIBL1221K443,3:18:10 PM,1.61,13.05
PIBD0728D649,3:17:44 PM,4.08,50
PIBL1221E182,3:16:54 PM,1.385,5.099
PIBL1221D165,3:16:39 PM,1.385,3.5
PIBL1221B050,3:16:36 PM,1.125,5
PIBL1221J409,3:16:35 PM,1.595,20.1
PIBD0728D649,3:16:10 PM,4.08,50
PIBL1221E182,3:15:30 PM,1.3875,7.5
PIBL1221E182,3:15:26 PM,1.3875,17.08
PIBL1221A033,3:14:49 PM,1.15,234.3
PIBL1221E182,3:14:38 PM,1.3875,3.01
PIBL1221E182,3:14:32 PM,1.3875,1.91
PIBL1221E182,3:14:25 PM,1.3875,1.6
PIBL1221E182,3:14:19 PM,1.3875,0.5
PIBL1221E182,3:14:13 PM,1.3875,23.85
PIBL1221E182,3:13:43 PM,1.387,2
PIBL1221B050,3:12:27 PM,1.1255,3
PIBL1221B050,3:12:13 PM,1.1255,1
PIBL1221B050,3:11:21 PM,1.1255,2
PIBL1221B050,3:11:17 PM,1.1255,1
PIBL1221B050,3:11:11 PM,1.1255,10.02
PIBL1221B050,3:11:05 PM,1.1255,12.23
PIBL1221A024,3:11:02 PM,1.1,0.501
PIBL1221A024,3:11:01 PM,1.1,0.502
PIBL1221B050,3:10:55 PM,1.1255,1.9
PIBL1221B050,3:10:12 PM,1.1255,2.933
PIBD0522A747,3:09:45 PM,1.465,100
PIBD0526D772,3:09:07 PM,3.76,9.09
PIBL1221B050,3:09:00 PM,1.1255,5.1
PIBL1221B050,3:08:56 PM,1.1255,5.01
PIBL1221B050,3:08:49 PM,1.1255,49.97
PIBL1221B050,3:08:44 PM,1.1255,5.72
PIBL1221B050,3:08:37 PM,1.1255,0.5
PIBL1221C120,3:07:18 PM,1.37,154
PIBL1221K443,3:06:28 PM,1.605,0.6
PIBL1221B050,3:05:00 PM,1.125,20.173
PIBL1221C120,3:04:50 PM,1.37,200
PIBL1221C095,3:04:09 PM,1.3,5
PIBL1221B050,3:04:07 PM,1.125,20.2
PIBL1221F234,3:03:13 PM,1.49,2.5
PIBL1221G297,3:03:09 PM,1.555,2.036
PIBL1221C102,3:03:08 PM,1.37,5
PIBL1221B078,3:00:21 PM,1.19,0.95
PIBL1221B078,3:00:19 PM,1.19,0.5
PIBL1221K443,3:00:18 PM,1.605,0.515
PIBD0728D649,2:59:24 PM,4.08,50
PIBL1221E182,2:59:04 PM,1.387,3
PIBL1221J409,2:59:03 PM,1.598,0.214
PIBL1221K443,2:59:02 PM,1.605,0.51
PIBL1221C111,2:58:54 PM,1.37,50
PIBL1221F252,2:58:16 PM,1.52,99.99
PIBD0728D649,2:58:03 PM,4.085,0.4
PIBL1221A042,2:57:47 PM,1.125,1
PIBL1221H312,2:57:32 PM,1.575,2
PIBD1021K551,2:57:01 PM,1.2,5
PIBL1221C095,2:55:42 PM,1.3,20.1
PIBL1221F225,2:55:19 PM,1.5,77
PIBL1221A024,2:55:07 PM,1.19,321.36
PIBL1221A024,2:54:37 PM,1.1,16.063
PIBL1221A024,2:53:46 PM,1.1,3.85
PIBL1221B050,2:53:11 PM,1.1255,3
PIBL1221B078,2:52:46 PM,1.18,0.3
PIBD0728D649,2:52:46 PM,4.1,0.036
PIBL1221A024,2:52:25 PM,1.1,16.063
PIBL1221D165,2:52:23 PM,1.398,1.4
PIBL1220L499,2:52:22 PM,1.075,1.013
PIBL1221B069,2:52:14 PM,1.16,300
PIBD2540I116,2:52:02 PM,5.04,150
PIBL1221B069,2:50:57 PM,1.16,300
PIBD1031G662,2:49:52 PM,4.68,50
PIBL1221C102,2:49:36 PM,1.375,0.504
PIBL1221A024,2:49:35 PM,1.1,4
PIBL1221C095,2:48:51 PM,1.35,5
PIBL1221C102,2:48:49 PM,1.375,5.2
PIBL1221C111,2:48:25 PM,1.37,71.076
PIID2032C014,2:48:11 PM,5.1,7
PIBL1221I357,2:48:01 PM,1.6,100
PIBL1221A042,2:47:55 PM,1.125,5
PIBL1221B050,2:47:54 PM,1.1255,5
PIBD0728D649,2:47:19 PM,4.1,19.38
PIBL1221B050,2:47:18 PM,1.126,6.07
PIBL1221B050,2:47:01 PM,1.126,6.07
PIBL1221B050,2:46:23 PM,1.126,3.065
PIBL1221A042,2:45:56 PM,1.135,2.3
PIBL1221G279,2:45:39 PM,1.525,5.067
PIBL1221B050,2:45:33 PM,1.126,8.11
PIBD0522A747,2:45:09 PM,1.49,5
PIBL1220L499,2:44:23 PM,1.075,5.004
PIBL1221C095,2:41:21 PM,1.35,1
PIBL1221A024,2:41:00 PM,1.15,5
PIBL1221B078,2:40:55 PM,1.18,12.9
PIBL1221B078,2:40:53 PM,1.18,10
PIBD0524J762,2:40:14 PM,2.625,7.7
PIBL1221A024,2:39:46 PM,1.1,5.6
PIBL1221E217,2:38:18 PM,1.475,6.19
PIID0323B101,2:38:05 PM,2.1,7
PIBL1221B050,2:36:54 PM,1.1255,0.501
PIBL1221B050,2:35:27 PM,1.1255,0.501
PIBL1221K443,2:35:01 PM,1.605,100
PIBL1221A042,2:34:58 PM,1.125,4.8904
PIBL1221A042,2:34:44 PM,1.13,7.561
PIBL1221A033,2:34:12 PM,1.12,10.315
PIBL1221I357,2:34:04 PM,1.58,3.355
PIBL1221A024,2:33:56 PM,1.13,0.057
PIBL1221B078,2:33:53 PM,1.175,0.5
PIBL1221C111,2:33:51 PM,1.38,3.5
PIBL1221C095,2:33:50 PM,1.35,1.21
PIBL1221C095,2:33:46 PM,1.35,2.02
