isin,time,yield,vol
PIBD1031G662,3:58:31 PM,4.6995,45
PIBD1029A644,3:58:07 PM,4.615,200
PIID1023H046,3:55:11 PM,2.75,29
PIBD2540I116,3:52:05 PM,4.825,15
PIBD1029A644,3:51:06 PM,4.615,250
PIBD2540I116,3:48:59 PM,4.975,15
PIBL1221L503,3:48:21 PM,1.625,2.03
PIBD1030G655,3:48:14 PM,4.5,35
PIBL1221F243,3:48:03 PM,1.25,1.5
PIBD1028C635,3:46:07 PM,4.3545,15
PIBL1221K461,3:45:46 PM,1.615,0.758
PIBL1221B050,3:43:53 PM,1.02,0.419
PIBL1221L503,3:31:58 PM,1.63,2.03
PIBL1221C095,3:31:39 PM,1.035,0.5
PIBL1221J409,3:29:27 PM,1.535,200
PIBL1221F234,3:26:49 PM,1.25,0.52
PIBD1024H595,3:23:53 PM,3.06,6.033872
PIBL1221L503,3:22:22 PM,1.63,1.5
PIBD1031G662,3:22:06 PM,4.675,300
PIBL1221C139,3:20:46 PM,0.9,50
PIBL1221G288,3:18:55 PM,1.385,1
PIBD1031G662,3:18:48 PM,4.7,500
PIBD1031G662,3:18:47 PM,4.7,100
PIBD1031G662,3:18:45 PM,4.7,50
PIBD1030G655,3:16:05 PM,4.71,7
PIBL1221F261,3:16:02 PM,1.325,0.6
PIBL1221B050,3:15:43 PM,1.02,3
PIBL1221C139,3:15:33 PM,1.03,50
PIBD2041G241,3:14:58 PM,4.98,1.45
PIBL1221C111,3:13:37 PM,1.1,0.2
PIBL1221A042,3:12:42 PM,0.9,100
PIBL1221B078,3:12:40 PM,0.975,100
PIBL1221C120,3:12:13 PM,1.1,0.501
PIID1023H046,3:12:04 PM,2.7,3
PIID0524C129,3:11:20 PM,2.85,0.5
PIBL1221B050,3:08:06 PM,1.02,6.62
PIBL1221E208,3:07:12 PM,1.35,0.55
PIBL1221F234,3:07:00 PM,1.25,50.8
PIBL1221F234,3:06:58 PM,1.25,41.2
PIBL1221F243,3:05:39 PM,1.25,0.5
PIBL1221F243,3:05:01 PM,1.25,2
PIBL1221F243,3:04:56 PM,1.25,1.51
PIBL1221F243,3:04:50 PM,1.25,3
PIBL1221F243,3:04:42 PM,1.25,34.18
PIBL1221F243,3:04:34 PM,1.25,1.5
PIBL1221A042,3:01:43 PM,0.9,2
PIBD1031G662,2:55:56 PM,4.68,100
PIID0524C129,2:53:39 PM,2.55,4.05
PIID0524C129,2:53:25 PM,2.55,6.27
PIBD1029A644,2:49:37 PM,4.545,15
PIBD1025I608,2:45:20 PM,3.625,2.35
PIID1023H046,2:44:56 PM,2.775,3
PIBD1024H595,2:43:18 PM,3.05,5.2
PIBD0524J762,2:43:10 PM,3.05,2
PIBL1221F225,2:42:38 PM,1.28,2
PIBL1221L503,2:42:32 PM,1.63,1.1
PIID0522L114,2:38:59 PM,2.25,0.8
PIBL1221K443,2:38:15 PM,1.575,2
PIBL1221A015,2:38:10 PM,1.05,0.3
PIBL1221B078,2:38:06 PM,1.075,1
PIBL1221F225,2:35:58 PM,1.28,1
PIBL1221F252,2:35:46 PM,1.25,1.5
PIBD0724D595,2:35:43 PM,2.7,15
PIBL1221A042,2:33:51 PM,1.02,0.7
PIBL1221F243,2:33:43 PM,1.225,0.47
PIBL1221C102,2:33:41 PM,1.04,1
PIBL1221B078,2:32:50 PM,1.025,50
PIID0324C115,2:31:49 PM,2.575,100
PIID0527L140,2:30:30 PM,4.17,100
PIID0527L140,2:29:31 PM,4.17,50
PIID0527L140,2:29:11 PM,4.17,50
PIID1026I057,2:27:01 PM,4,0.2
PIID0522L114,2:26:59 PM,2,1
PIID0522L114,2:26:59 PM,2,1.194
PIID0324C115,2:25:35 PM,2.59,36
PIBL1221F243,2:18:51 PM,1.275,50.2866
PIBL1221B078,2:18:23 PM,1.03,0.8
PIBL1221L503,2:17:40 PM,1.63,1.011
PIBD1031G662,2:16:58 PM,4.73,189.5
PIBL1221J409,2:16:52 PM,1.535,50
PIBL1221L488,2:15:19 PM,1.62,20.64
PIBL1221L503,2:15:13 PM,1.63,1.734
PIID0527L140,2:15:02 PM,4.17,10
PIBL1221L497,2:15:00 PM,1.625,5
PIID0527L140,2:14:53 PM,4.19,35
PIBD1031G662,2:10:21 PM,4.75,100
PIID0323B101,2:10:01 PM,2.175,3
PIBL1221L497,2:09:23 PM,1.635,1.01
PIID0527L140,2:01:05 PM,4.17,0.832
PIBD1031G662,2:01:04 PM,4.68,2.3
PIBL1221D165,11:58:43 AM,1.125,1
PIBL1221F234,11:58:08 AM,1.25,0.5
PIBL1221F243,11:55:37 AM,1.25,20.08
PIBL1221L503,11:55:32 AM,1.63,1.36
PIBL1221F243,11:55:23 AM,1.25,1.01
PIBL1221F243,11:55:13 AM,1.25,1.4
PIBL1221I375,11:55:01 AM,1.45,25
PIBD0523C752,11:55:00 AM,2.225,19.853
PIBD0523C752,11:54:50 AM,2.225,30.147
PIBD2041G241,11:54:34 AM,4.85,45
PIBL1221L503,11:54:20 AM,1.63,0.5
PIBD2041G241,11:52:50 AM,4.95,45
PIID0524C129,11:47:56 AM,2.55,2
PIID0524C129,11:47:54 AM,2.55,38
PIBL1221B078,11:47:30 AM,1,5.0049
PIBL1221A042,11:45:14 AM,1.025,42
PIBL1221L503,11:44:01 AM,1.63,1
PIBL1221B087,11:42:51 AM,1.025,1.001
PIBL1221C120,11:40:21 AM,1.165,0.5
PIBL1221C111,11:40:04 AM,1.165,0.833
PIBL1221C102,11:39:44 AM,1.165,0.055
PIBL1221B069,11:38:29 AM,1.025,3.2
PIBL1221K461,11:36:19 AM,1.615,3.033
PIBD2023J068,11:35:32 AM,2.5,0.36
PIID0324C115,11:35:26 AM,2.725,0.005
PIBL1221F252,11:33:32 AM,1.25,2.009
PIBL1221E217,11:31:24 AM,1.225,118.66
PIBL1221F252,11:29:29 AM,1.25,20.09
PIBL1221J409,11:29:05 AM,1.53,50
PIBD0522A747,11:28:29 AM,1.38,2
PIBL1221A042,11:27:57 AM,1.025,60
PIID0323B101,11:25:01 AM,2.175,20
PIID0527L140,11:24:40 AM,4.11,10
PIBL1221C139,11:22:53 AM,1.03,4.9
PIBL1221H330,11:21:08 AM,1.4,3
PIID0323B101,11:19:13 AM,2.3,0.01
PIBL1221L503,11:15:33 AM,1.63,225
PIBL1221L503,11:14:41 AM,1.63,100
PIBL1221A015,11:13:39 AM,1.05,3.33547
PIBL1221L503,11:13:12 AM,1.63,125
PIBD2039A232,11:13:04 AM,4.64,6
PIBD1028C635,11:13:01 AM,4.425,6
PIBD2039A232,11:11:35 AM,4.65,6
PIID0525H130,11:11:18 AM,3.55,0.05
PIBL1221B078,11:11:16 AM,1,25
PIBL1221G297,11:11:14 AM,1.4,3
PIBL1221I384,11:11:02 AM,1.45,25
PIID0522L114,11:10:27 AM,2.25,0.5
PIBL1221D147,11:10:25 AM,1.15,20.05
PIBL1221E217,11:09:20 AM,1.275,0.251
PIBL1221B050,11:07:35 AM,1.125,40
PIBL1221B078,11:06:08 AM,1,112.124
PIBL1221L503,11:05:59 AM,1.63,2
PIBL1221A042,11:05:52 AM,1,56.0721
PIBL1221E217,11:04:18 AM,1.25,20.1
PIBL1221F234,11:03:58 AM,1.32,3
PIID0527L140,11:03:12 AM,4.175,50
PIID0527L140,11:02:57 AM,4.175,100
PIID0527L140,11:02:40 AM,4.175,50
PIID0527L140,11:02:25 AM,4.175,50
PIBL1221F243,11:02:22 AM,1.25,2.7
PIBL1221F243,11:02:18 AM,1.25,3.02
PIBL1221L503,11:01:52 AM,1.575,20
PIBL1221B069,11:01:05 AM,1.025,44.61
PIBL1221A042,10:59:24 AM,0.9,150
PIBL1221L503,10:59:11 AM,1.63,20
PIBL1221E182,10:57:57 AM,1.275,25
PIID0527L140,10:57:30 AM,4.175,50
PIBL1221H312,10:57:19 AM,1.475,99
PIID2032C014,10:57:16 AM,4.95,10.101
