isin,time,yield,vol
PIID1023H046,3:58:24 PM,2.8,19
PIID1023H046,3:58:18 PM,2.875,28.6
PIBD0728D649,3:51:52 PM,4.275,200
PIBD2540I116,3:49:19 PM,5.0375,16
PIBD1027E617,3:47:10 PM,4.15,0.03
PIBD0728D649,3:45:30 PM,4.2895,1.3
PIBD2039A232,3:45:22 PM,5.05,24.1
PIID1023H046,3:44:38 PM,2.75,48.315
PIBL1221B069,3:43:09 PM,1.135,2.2
PIBL1221G288,3:42:57 PM,1.55,0.594
PIID1023H046,3:41:50 PM,3.1,0.989
PIBL1221G304,3:40:54 PM,1.7,4.045
PIBD2031G171,3:39:41 PM,4.875,50.6
PIBL1221A024,3:36:53 PM,1.15,27
PIBL1221G288,3:34:53 PM,1.575,1.949
PIBD1031G662,3:34:19 PM,4.85,8.2
PIBD1029A644,3:31:39 PM,4.5,36.5
PIBD1028C635,3:29:02 PM,4.275,11.9
PIBL1221A042,3:26:32 PM,1.075,1
PIBD0526D772,3:20:48 PM,4.015,100
PIBL1221F252,3:19:53 PM,1.465,200
PIBL1221F252,3:18:09 PM,1.465,200
PIBD0728D649,3:17:32 PM,4.275,100
PIBL1221K470,3:16:08 PM,1.635,4.056
PIBD0728D649,3:15:15 PM,4.275,50
PIBD0728D649,3:15:13 PM,4.275,50
PIBD0522A747,3:15:07 PM,1.475,19.717
PIBL1221K461,3:15:05 PM,1.61,6
PIBL1221F252,3:14:28 PM,1.475,0.2
PIBL1221K470,3:14:03 PM,1.615,2.023
PIBL1221G297,3:14:02 PM,1.5,1.8
PIBL1221I375,3:14:00 PM,1.58,1.01
PIBL1221E217,3:10:59 PM,1.425,4
PIBL1221F261,3:10:47 PM,1.55,1.6
PIBL1221K470,3:10:40 PM,1.615,0.506
PIBD0323I252,3:10:10 PM,2.8,16
PIBD1031G662,3:08:14 PM,4.85,10
PIBL1221B087,3:07:18 PM,1.165,6.5
PIBL1221K470,3:07:08 PM,1.62,0.5
PIBL1221B087,3:07:02 PM,1.16,21.46
PIBL1221B087,3:06:54 PM,1.16,5.2
PIBL1221C102,3:04:38 PM,1.275,30
PIBD0526D772,3:04:27 PM,4.99,2.1
PIBL1221K470,3:03:23 PM,1.635,0.38
PIBD0522A747,3:02:32 PM,1.55,1.4
PIID1023H046,3:01:51 PM,2.9,1
PIBL1221K461,3:01:16 PM,1.615,1.2
PIBL0621F030,2:58:32 PM,1.06,5.025
PIBD0526D772,2:57:32 PM,3.99,8.9
PIBL1221F243,2:57:20 PM,1.525,55
PIBL1221C111,2:57:09 PM,1.325,75
PIBL0621F030,2:55:31 PM,1.06,15
PIBD0526D772,2:55:07 PM,3.991,35
PIBL1221A042,2:55:05 PM,1.175,30
PIBL1221E217,2:54:02 PM,1.485,1.2
PIBL1221D156,2:52:49 PM,1.37,2.3
PIBL1221K470,2:47:56 PM,1.635,2.78
PIID0525H130,2:47:41 PM,3.5,4
PIBL1221E217,2:47:35 PM,1.445,1.09
PIBL1221J409,2:45:41 PM,1.6,4.091
PIBD0523C752,2:45:08 PM,2.32,9
PIBL1221E217,2:42:23 PM,1.425,10
PIBD0724D595,2:42:01 PM,3.05,60
PIID0323B101,2:41:29 PM,2.2,10
PIID0524C129,2:39:34 PM,2.95,65
PIBL1221E217,2:39:04 PM,1.485,23.05
PIBL1221E217,2:39:02 PM,1.485,1
PIID0324C115,2:38:42 PM,2.92,1
PIID0524C129,2:38:24 PM,3,0.6
PIBL1221E217,2:37:58 PM,1.475,10.068
PIBL1221D147,2:37:39 PM,1.4,4.021
PIBL1221C111,2:37:23 PM,1.35,5.622
PIBL1221C102,2:36:52 PM,1.325,0.87
PIBL1221B069,2:36:32 PM,1.15,2.2935
PIBL1221E217,2:36:26 PM,1.445,10
PIBD0728H654,2:34:46 PM,4.25,15.859
PIBL1221E217,2:33:35 PM,1.475,1
PIID0324C115,2:33:09 PM,2.94,0.4
PIBL1221E191,2:32:34 PM,1.44,1.11
PIID0524C129,2:32:27 PM,3,10
PIBD2540I116,2:31:57 PM,5.035,0.7
PIBL1221E217,2:31:55 PM,1.445,20
PIBD0723D588,2:29:24 PM,2.3,183.9
PIBL1221F252,2:27:53 PM,1.48,150
PIBD0526D772,2:26:42 PM,4,1
PIBD1031G662,2:26:29 PM,4.83,0.83
PIBD0522A747,2:24:25 PM,1.5,4.851
PIID0324C115,2:23:21 PM,2.825,2.6
PIID0324C115,2:23:19 PM,2.825,2.6
PIID0324C115,2:23:15 PM,2.825,2.6
PIID0324C115,2:23:15 PM,2.85,5
PIID0324C115,2:23:12 PM,2.825,2.6
PIID0324C115,2:23:08 PM,2.825,2.6
PIID0324C115,2:23:03 PM,2.825,2.6
PIBL1221F234,2:19:50 PM,1.47,150
PIBD1027E617,2:19:19 PM,4.1975,10
PIBD0728D649,2:19:10 PM,4.28,100
PIBD2540I116,2:19:00 PM,4.981,2
PIID2537J015,2:18:59 PM,5.02,0.25
PIBL1221A033,2:18:40 PM,1.15,2.646
PIID0323B101,2:18:20 PM,2.075,150
PIID0323B101,2:17:54 PM,2.075,150
PIID0323B101,2:15:48 PM,2.2,0.4
PIBL1221B078,2:15:43 PM,1.15,2.3
PIID0323B101,2:13:07 PM,2.22,33.720496
PIBL1221B050,2:12:29 PM,1.1,1.002
PIBL1221K470,2:12:28 PM,1.615,5.058
PIBD0322G247,2:09:39 PM,1.84,7.5
PIID0525H130,2:08:25 PM,3.49,130
PIBL1221D156,2:04:35 PM,1.368,20.08
PIBL1221K470,2:03:51 PM,1.635,2.12
PIBL1221K470,2:03:04 PM,1.635,3.03
PIBD0523C752,2:02:51 PM,2.3,4.72
PIBD0523C752,2:02:47 PM,2.3,1.59
PIID0522L114,2:02:30 PM,2.15,0.21
PIID0522L114,2:02:29 PM,2.15,2.09
PIID0522L114,2:02:28 PM,2.15,5.37
PIID0522L114,2:02:27 PM,2.15,54.52
PIID0522L114,2:02:25 PM,2.15,8.63
PIID0522L114,2:02:24 PM,2.15,2.63
PIID0522L114,2:02:22 PM,2.15,0.24
PIID0522L114,2:02:21 PM,2.15,7.85
PIID0522L114,2:02:19 PM,2.15,6.46
PIID0323B101,2:02:18 PM,2.15,0.47
PIID0323B101,2:02:16 PM,2.15,4.74
PIID0323B101,2:02:15 PM,2.15,12.2
PIID0323B101,2:02:13 PM,2.15,123.95
PIID0323B101,2:02:11 PM,2.15,19.61
PIID0323B101,2:02:10 PM,2.15,5.98
PIID0323B101,2:02:09 PM,2.15,0.54
PIID0323B101,2:02:07 PM,2.15,17.83
PIID0323B101,2:02:06 PM,2.15,14.68
PIBD0526D772,2:02:04 PM,3.98,0.7
PIBD0526D772,2:02:03 PM,3.98,7.12
PIBD0526D772,2:02:01 PM,3.98,18.3
PIBD0526D772,2:02:00 PM,3.98,185.89
PIBD0526D772,2:01:58 PM,3.98,29.42
PIBD0526D772,2:01:56 PM,3.98,8.98
PIBD0526D772,2:01:55 PM,3.98,0.81
PIBD0526D772,2:01:54 PM,3.98,22.03
PIBD0526D772,2:01:52 PM,3.98,26.75
PIBD0523C752,2:01:50 PM,2.3,0.12
PIBD0523C752,2:01:49 PM,2.3,1.26
PIBD0523C752,2:01:47 PM,2.3,3.23
PIBD0523C752,2:01:46 PM,2.3,32.85
PIBD0523C752,2:01:44 PM,2.3,5.2
PIBD0523C752,2:01:43 PM,2.3,0.14
PIBD0523C752,2:01:41 PM,2.3,3.89
PIID0525H130,11:59:32 AM,3.525,0.3
PIBD0728D649,11:59:18 AM,4.29,1
PIBL1221E217,11:57:08 AM,1.44,2
PIBL1221E217,11:57:01 AM,1.44,10.55
PIBL1221B087,11:56:56 AM,1.161,0.5
PIBL1221B087,11:56:49 AM,1.161,37.5
PIBL1221A024,11:56:11 AM,1.05,0.8
PIBD1027E617,11:54:31 AM,4.19,31.93
PIBD0523C752,11:54:19 AM,2.25,18
PIBD0523C752,11:54:16 AM,2.25,12
PIBD0523C752,11:54:11 AM,2.25,15
PIBD0728D649,11:54:04 AM,4.275,50
PIBL1221E191,11:54:01 AM,1.44,11
PIBL1221E191,11:53:40 AM,1.445,140
PIBD0728H654,11:52:57 AM,4.4,2
PIBL1220L499,11:52:29 AM,1.1,13.825
PIBD0522A747,11:51:52 AM,1.5,3.8
PIBL1221E191,11:50:53 AM,1.44,2
PIBL1221B087,11:50:42 AM,1.16,2
PIBL1221E191,11:50:38 AM,1.44,4.35
PIBL1221A024,11:50:21 AM,1.05,37
PIBL1221D156,11:50:10 AM,1.37,5
PIBL1221E191,11:49:55 AM,1.44,4
PIBL1221B087,11:49:44 AM,1.175,38
