isin,time,yield,vol
PIID0525H130,3:59:09 PM,3.305,2
PIID0323B101,3:57:23 PM,2.1,100
PIID0323B101,3:57:18 PM,2.1,100
PIBD1031G662,3:49:26 PM,4.89,50
PIBD1027E617,3:49:25 PM,4.15,0.02
PIBD0728D649,3:49:14 PM,4.35,0.05
PIBD0728H654,3:49:09 PM,4.375,0.1
PIBL1221D165,3:47:36 PM,1.391,0.5
PIBL1221D165,3:47:27 PM,1.391,1.52
PIBL1221A033,3:47:20 PM,1.11,2.8
PIBL1221A033,3:47:17 PM,1.11,2.2
PIBD2033C206,3:46:46 PM,4.94,20
PIID0524C129,3:42:38 PM,2.5,0.4
PIBD0724D595,3:42:33 PM,2.65,0.9
PIBL1221D156,3:41:19 PM,1.385,0.5025
PIBD1031G662,3:41:17 PM,4.92,10
PIBL1221J418,3:41:02 PM,1.592,4.04
PIBL0621F021,3:35:44 PM,1.08,5
PIBD2033C206,3:34:53 PM,5.05,25
PIBL1221J418,3:32:30 PM,1.592,8.168
PIBL1221H330,3:31:44 PM,1.575,5.2
PIBD1029A644,3:25:53 PM,4.765,0.25
PIID0525H130,3:22:46 PM,3.315,50
PIID1023H046,3:22:05 PM,2.45,7
PIID0323B101,3:21:19 PM,2.1,7
PIID0522L114,3:20:24 PM,2.05,0.6
PIBD0526D772,3:19:39 PM,3.75,35
PIBD1029A644,3:19:35 PM,4.5,0.02
PIBL1221A033,3:19:00 PM,1.1,50.1
PIBD0524J762,3:18:43 PM,2.73,50
PIBL1221J427,3:17:06 PM,1.6,1.01
PIBL1221J427,3:17:01 PM,1.6,0.5
PIBL1221D156,3:16:49 PM,1.385,50.245
PIBL1221A033,3:16:37 PM,1.1,45.175
PIBL1221D165,3:12:55 PM,1.391,6.85
PIBL1221D165,3:12:52 PM,1.391,3
PIBL1221D165,3:12:48 PM,1.391,0.5
PIID0525H130,3:12:46 PM,2.95,0.2
PIBL1221D165,3:12:44 PM,1.391,0.5
PIBL1221D165,3:12:35 PM,1.391,1
PIBL1221A033,3:10:25 PM,1.11,2
PIBL1221A033,3:10:22 PM,1.11,2.42
PIBL1221A033,3:10:18 PM,1.11,1.3
PIBL1221A033,3:10:14 PM,1.11,1.8
PIBL1221A033,3:10:11 PM,1.11,4
PIBL1221J427,3:07:44 PM,1.6,0.1
PIBD1024H595,3:06:23 PM,2.85,3
PIBL1221C095,3:05:37 PM,1.355,10.1
PIBL1221A024,3:05:23 PM,1.125,1.013
PIBD2540I116,3:04:17 PM,5.101,300
PIBL1221A015,3:01:00 PM,1.085,5.3
PIBL1221J418,3:00:44 PM,1.5925,5.05
PIBL1221C095,2:58:24 PM,1.355,5
PIBL1221C111,2:58:00 PM,1.395,1
PIBL1221D165,2:57:39 PM,1.39,1.276
PIBD1027E617,2:57:08 PM,3.95,3.3
PIBD1027E617,2:57:01 PM,3.7,3.3
PIBL1221D147,2:54:42 PM,1.395,5
PIBL1221C095,2:53:36 PM,1.355,0.5
PIID0525H130,2:50:57 PM,3.315,30
PIBL1220L505,2:50:32 PM,1.08,3
PIBL1220L505,2:50:28 PM,1.08,5
PIBD0723D588,2:48:03 PM,2.15,300
PIBL1221A033,2:44:10 PM,1.11,6.5
PIBD1025I608,2:43:54 PM,3.45,6.042
PIBL0621F030,2:43:35 PM,1.15,2.026
PIBL1221A015,2:43:26 PM,1.085,1.012
PIBL1221A015,2:43:16 PM,1.085,1.204
PIBD1021K551,2:43:11 PM,1,100
PIBD1022G545,2:43:08 PM,1.2,106
PIBL1221A015,2:43:05 PM,1.085,1.006
PIBD0526D772,2:43:05 PM,3.65,0.1
PIBD1031G662,2:41:23 PM,4.91,2
PIBL1221J418,2:36:43 PM,1.592,5.057
PIBL1220L505,2:32:56 PM,1.08,3.5
PIBL0621F030,2:31:29 PM,1.15,3.14
PIBL1221J418,2:30:32 PM,1.592,7
PIBD1031G662,2:29:02 PM,4.89,50
PIBL0621F030,2:26:01 PM,1.15,0.5
PIBL1221F234,2:25:53 PM,1.525,2.013
PIBL1221F234,2:25:51 PM,1.525,0.805
PIBL1220L499,2:25:50 PM,1.075,1.2
PIBL1221E182,2:25:02 PM,1.435,40.479
PIBL0621F021,2:23:59 PM,1.08,0.75
PIBL1221I375,2:23:02 PM,1.585,0.532
PIBL1221D165,2:22:13 PM,1.3925,210.49
PIBL1220K445,2:22:11 PM,1.05,5.027
PIBL1221A033,2:21:46 PM,1.11,0.95
PIBL1221D156,2:19:37 PM,1.392,3.618
PIID1026I057,2:19:28 PM,3.9,1.4
PIID2537J015,2:18:57 PM,5.245,2
PIBL1221J427,2:18:13 PM,1.6025,10.119
PIID0522L114,2:18:03 PM,2,0.3
PIBL1221J427,2:17:29 PM,1.585,0.525
PIBL1221A033,2:15:29 PM,1.15,7.31
PIBL1221J418,2:15:27 PM,1.592,6.52
PIID2537J015,2:15:17 PM,5.15,4.644
PIBD2540I116,2:15:07 PM,5,3.815
PIBL1221C120,2:14:33 PM,1.395,0.405
PIBL1221J418,2:12:40 PM,1.592,5
PIBL0621F030,2:11:25 PM,1.15,7.011
PIBL1220K454,2:11:16 PM,1.09,35.95
PIBL0621F030,2:11:16 PM,1.15,0.5
PIBL0621F030,2:11:15 PM,1.15,0.77
PIBL1221A024,2:10:18 PM,1.125,1.551
PIBL1221J427,2:09:37 PM,1.585,1.674
PIBL1221D165,2:09:09 PM,1.39,3
PIBL0621F030,2:09:07 PM,1.15,5
PIBL1221E208,2:07:32 PM,1.5,0.437
PIBD0522A747,2:06:49 PM,1.35,0.5
PIBL1221D165,2:06:34 PM,1.39,0.539
PIID0522L114,2:06:18 PM,1.725,30
PIBL1221C139,2:04:16 PM,1.395,0.51
PIBL1221G304,2:04:03 PM,1.565,1.01
PIBL0621F030,2:03:42 PM,1.15,2.85
PIBL1221C139,2:03:24 PM,1.395,1.5
PIID1026I057,2:02:57 PM,3.88,1
PIBD0522A747,2:01:17 PM,1.425,1.7
PIBL1221J427,2:01:08 PM,1.6,1.08
PIBL1221D165,2:00:55 PM,1.39,1.51
PIBL1221J427,2:00:49 PM,1.6,1
PIBL1221J427,11:58:54 AM,1.6025,30.1
PIBL1221A033,11:58:15 AM,1.1,0.5
PIBL1221A033,11:58:10 AM,1.1,6.01
PIBL1221A033,11:58:08 AM,1.1,7.25
PIBL1221A033,11:58:06 AM,1.1,13.53
PIBL1221A033,11:58:04 AM,1.1,0.5
PIBD0524J762,11:57:42 AM,2.97,1
PIBL0621F021,11:57:37 AM,1.0825,10
PIBL1221C095,11:57:00 AM,1.355,3
PIBL0621F021,11:56:57 AM,1.0825,78.18
PIBD0526D772,11:55:03 AM,3.835,1.215
PIBL1221A024,11:53:37 AM,1.15,1
PIBL1221D165,11:53:33 AM,1.4,0.7
PIBD2033C206,11:51:26 AM,4.975,7.055
PIBL0621F030,11:48:48 AM,1.035,4
PIBL1221J418,11:47:37 AM,1.5925,0.51
PIBL1221C139,11:47:12 AM,1.395,3.6
PIBL1221B069,11:46:10 AM,1.39,200
PIBL1221B069,11:45:46 AM,1.39,200
PIBL0621F030,11:44:27 AM,1.15,0.31
PIBL1221A033,11:44:27 AM,1.1,1
PIID2032C014,11:43:48 AM,4.525,0.595
PIID1023H046,11:43:25 AM,2.335,100
PIBL1221A033,11:43:22 AM,1.15,1.95
PIBL1221A033,11:43:18 AM,1.1,5.2
PIID1023H046,11:42:50 AM,2.45,0.2
PIBL0621F030,11:42:17 AM,1.15,0.515
PIID1527C023,11:41:21 AM,3.66,1.669
PIBD0526D772,11:39:19 AM,3.835,3.165
PIBL1221A033,11:37:41 AM,1.11,4
PIBD1031G662,11:35:57 AM,4.915,10
PIBD1031G662,11:35:35 AM,4.91,1
PIBD2037E214,11:35:32 AM,5.055,2
PIID1023H046,11:34:31 AM,2.4,0.2
PIBL0621F030,11:34:09 AM,1.15,32.5
PIBL1221D165,11:33:58 AM,1.392,8.03
PIID2537J015,11:33:40 AM,5.05,10
PIBL0621F030,11:33:35 AM,1.15,3.01
PIBL0621F030,11:33:34 AM,1.15,4
PIBL1220K472,11:33:30 AM,1.1,2.025
PIBL1221J427,11:32:59 AM,1.604,35
PIID1023H046,11:32:03 AM,2.45,3
PIBL0621F030,11:31:33 AM,1.15,50
PIBL0621F030,11:31:31 AM,1.15,15.024
PIBL1221H321,11:30:23 AM,1.575,0.506
PIBL1221C111,11:29:44 AM,1.395,0.65
PIBL1221C111,11:29:43 AM,1.395,0.94
PIBL1221J427,11:29:40 AM,1.6,0.35
PIBL1221A024,11:29:39 AM,1.1255,50
PIBL0621F030,11:28:20 AM,1.15,3.68
PIBL0621F030,11:27:45 AM,1.15,4
PIBL1221J418,11:27:43 AM,1.592,5.5
PIBL1221J418,11:27:09 AM,1.592,10
PIBL0621F030,11:26:18 AM,1.15,10.05
PIBL1221A042,11:26:05 AM,1.125,0.2
PIBL0621F021,11:25:42 AM,1.05,30
PIBL1221J427,11:25:37 AM,1.625,2.52
PIBL1221D165,11:25:04 AM,1.392,0.65
PIBL1221D165,11:25:03 AM,1.392,3.068
PIBL1221D165,11:25:01 AM,1.392,0.695
PIBL1221D165,11:25:00 AM,1.392,1.222
PIBL1221D165,11:24:59 AM,1.392,1.883
PIBL1221J427,11:24:41 AM,1.6,0.5
PIBL1221J427,11:24:39 AM,1.6,1.5
PIBL1221D165,11:23:40 AM,1.392,5.221
PIBL1221D165,11:23:39 AM,1.392,1.69
PIBL1221D165,11:23:38 AM,1.392,6.195
PIBL1221D165,11:23:36 AM,1.392,1.645
PIBL1221D165,11:23:35 AM,1.392,0.985
PIBL1221D165,11:23:34 AM,1.39,17.08
PIBL1221D165,11:23:28 AM,1.39,2.51
PIBL1221D165,11:23:25 AM,1.39,1
PIBL1221J427,11:23:25 AM,1.585,1
PIBL1221D165,11:23:23 AM,1.39,3.55
PIBL1221D165,11:23:21 AM,1.39,2.55
PIBL1221A033,11:23:04 AM,1.1,4
PIID0323B101,11:22:14 AM,2.1,1
PIID0525H130,11:21:36 AM,3.355,1.5
PIBL1221A033,11:21:11 AM,1.1,4.02
PIBL1221A033,11:21:10 AM,1.1,12
PIBL1221A033,11:20:53 AM,1.1,239.352
PIBD0526D772,11:20:47 AM,3.85,26
PIBL1220K472,11:20:43 AM,1.05,11.08
