isin,time,yield,vol
PIBL1221B087,3:44:20 PM,1.16,3.813
PIBL1221A024,3:43:33 PM,1.1,0.25
PIBL1221E191,3:43:08 PM,1.43,3.058
PIBD0526D772,3:38:52 PM,4.125,15
PIID0324C115,3:38:14 PM,2.78,1.95
PIID0324C115,3:38:12 PM,2.78,1.1
PIID2537J015,3:32:34 PM,5.1,9
PIID0323B101,3:30:18 PM,2.19,1
PIBL1221H321,3:26:29 PM,1.5,47.31
PIBL1221C102,3:26:13 PM,1.275,15.29
PIBL1221B087,3:25:06 PM,1.16,3.106
PIBL1221K461,3:18:54 PM,1.6151,0.65
PIID0324C115,3:18:34 PM,2.87,1
PIBL1221E208,3:16:27 PM,1.31,3.51
PIID0324C115,3:16:21 PM,2.9,3
PIBL1221B087,3:12:15 PM,1.16,0.3
PIBL1221K461,3:11:35 PM,1.615,1.03
PIBL1221B078,3:10:04 PM,1.16,2.579
PIBL1221K461,3:06:31 PM,1.615,1.01
PIID1023H046,3:06:03 PM,2.7,3.075
PIBL1221E191,3:05:01 PM,1.435,1.51
PIBL1221E191,3:04:58 PM,1.435,0.5
PIBL1221B078,3:03:48 PM,1.155,2.003
PIBL1221E217,3:02:59 PM,1.45,45
PIID0522L114,3:02:45 PM,2.05,53.5
PIID1023H046,3:01:28 PM,2.75,1.05
PIID1023H046,3:01:26 PM,2.75,5
PIID1023H046,3:01:21 PM,2.75,5.5
PIBL1221A042,2:58:05 PM,1.125,2.54
PIBL1221E191,2:52:48 PM,1.43,1
PIBL1221E191,2:51:52 PM,1.43,0.5
PIBD1029A644,2:51:39 PM,4.75,35
PIBD1030G655,2:51:37 PM,4.925,50
PIBL1221E208,2:51:33 PM,1.475,3.88
PIBL1221E191,2:51:18 PM,1.475,4.2
PIBD1030G655,2:50:08 PM,4.925,50
PIBD1029A644,2:49:56 PM,4.75,35
PIBD0723D588,2:49:33 PM,2.3,0.4
PIBD0323I252,2:48:32 PM,2.675,0.4
PIBL1221K461,2:46:23 PM,1.615,0.8
PIID0324C115,2:45:50 PM,2.79,0.8
PIBD0725D618,2:42:40 PM,3.3,0.5
PIBL1221E191,2:42:26 PM,1.43,1
PIBL1221D174,2:41:27 PM,1.405,4.166
PIBL1221I393,2:40:18 PM,1.575,4.039
PIBL1221F252,2:39:19 PM,1.525,15
PIBL1221G288,2:39:18 PM,1.56,3.912
PIBL1221E217,2:34:36 PM,1.47,288.113
PIBL1220L505,2:33:28 PM,1.1,5
PIBL1221C111,2:33:26 PM,1.3,5
PIBL1221G297,2:33:18 PM,1.56,96.74
PIBL1221G288,2:32:57 PM,1.55,501.21
PIBL1221J427,2:30:10 PM,1.595,4.042
PIBL1221K461,2:29:25 PM,1.62,12.899
PIBL1221J409,2:29:22 PM,1.57,26
PIBD1031G662,2:28:26 PM,4.9,100
PIBL1221E182,2:27:40 PM,1.45,0.095
PIBL1221J409,2:25:20 PM,1.575,24
PIBL1221B078,2:23:46 PM,1.16,61.623
PIBL0621F030,2:23:41 PM,1.07,45
PIBL1221E208,2:22:10 PM,1.425,1
PIBL1221D165,2:21:26 PM,1.415,1.48
PIBL1221J418,2:21:25 PM,1.595,700
PIBL1221C095,2:20:50 PM,1.2,2
PIBL1221E208,2:20:26 PM,1.31,10.027
