isin,time,yield,vol
PIID0527L140,3:57:35 PM,4.325,50
PIBD2033C206,3:56:21 PM,4.99,2.74
PIBD0526D772,3:56:21 PM,3.875,100
PIBD2032I195,3:56:17 PM,4.955,2.34
PIID1023H046,3:53:48 PM,2.845,20
PIBD0526D772,3:53:26 PM,3.86,50
PIID0527L140,3:53:23 PM,4.325,50
PIID0527L140,3:53:07 PM,4.325,50
PIID0527L140,3:52:59 PM,4.325,50
PIID0527L140,3:52:44 PM,4.325,50
PIID0527L140,3:52:23 PM,4.325,50
PIID0527L140,3:52:13 PM,4.325,100
PIID0527L140,3:52:05 PM,4.325,50
PIID0527L140,3:52:01 PM,4.325,50
PIBL1221C111,3:50:23 PM,1.155,1.5
PIBD1031G662,3:47:57 PM,4.83,100
PIBL1221L497,3:43:20 PM,1.63,2.03
PIBL1221C102,3:43:13 PM,1.13,1
PIID0527L140,3:41:53 PM,4.33,50
PIBD2540I116,3:40:45 PM,5,50
PIID0527L140,3:40:42 PM,4.325,4
PIBD1031G662,3:39:05 PM,4.83,100
PIID0527L140,3:38:04 PM,4.33,50
PIID0324C115,3:37:39 PM,2.75,0.25
PIID0527L140,3:36:55 PM,4.33,50
PIID0527L140,3:36:09 PM,4.33,50
PIID0527L140,3:35:43 PM,4.33,25.7
PIID0527L140,3:35:16 PM,4.33,25.355
PIID0527L140,3:35:09 PM,4.33,24.3
PIID0527L140,3:35:05 PM,4.33,50
PIID0527L140,3:34:38 PM,4.33,50
PIID0324C115,3:33:35 PM,2.73,0.5
PIBL1221L497,3:32:49 PM,1.63,12.155
PIBD1031G662,3:32:48 PM,4.82,20
PIBD0723D588,3:31:19 PM,2.395,26
PIBD1031G662,3:28:53 PM,4.84,100
PIBD0723D588,3:28:00 PM,2.45,4
PIBL1221C102,3:25:24 PM,1.13,2.07
PIBL1221L497,3:24:19 PM,1.63,0.5
PIID0525H130,3:23:08 PM,3.56,50
PIBL1221F234,3:23:06 PM,1.435,4
PIBD1022G545,3:23:00 PM,1.5,750
PIBL1221A042,3:22:11 PM,1.035,14.5
PIID0525H130,3:21:39 PM,3.56,650
PIBL1221A042,3:21:20 PM,1.035,0.5
PIBL1221A042,3:21:16 PM,1.035,1
PIBL1221F234,3:19:55 PM,1.315,10
PIID0324C115,3:19:47 PM,2.75,1
PIBL1221F234,3:18:32 PM,1.435,3.779
PIBD0728D649,3:16:51 PM,4.28,100
PIBD0526D772,3:15:32 PM,3.875,2.25
PIBL1221F234,3:13:15 PM,1.43,1.006
PIID0525H130,3:12:43 PM,3.565,50
PIBL1221A042,3:11:51 PM,1.035,3.5
PIID0527L140,3:11:21 PM,4.33,50
PIBD1022L585,3:11:16 PM,2.23,0.3
PIID0527L140,3:10:57 PM,4.33,50
PIID0527L140,3:10:31 PM,4.33,25
PIID0527L140,3:10:24 PM,4.33,100
PIID0525H130,3:10:14 PM,3.59,0.5
PIBL1221F234,3:10:12 PM,1.435,10
PIID0527L140,3:10:10 PM,4.33,125
PIID0527L140,3:09:26 PM,4.33,150
PIID0527L140,3:09:20 PM,4.33,7.9
PIID0527L140,3:07:39 PM,4.33,50
PIID0527L140,3:06:48 PM,4.33,50
PIBL1221L497,3:03:35 PM,1.625,2.02
PIBL1221G297,3:03:30 PM,1.475,17.47
PIBL1221L497,3:03:12 PM,1.625,2.53
PIBD1025I608,3:03:09 PM,3.65,0.5
PIBL1221A024,3:02:25 PM,1.03,1.4
PIBL1221F234,3:02:10 PM,1.435,2.01
PIBL1221C102,3:01:49 PM,1.1255,3.1
PIBL1221F234,3:01:48 PM,1.435,1
PIBL1221L497,3:01:47 PM,1.625,1.5
PIBL1221F234,3:01:43 PM,1.435,11.05
PIBL1221C102,3:01:40 PM,1.1255,10.19
PIID0324C115,3:01:37 PM,2.75,1
PIBL1221A024,2:59:59 PM,1.025,60
PIBD1025I608,2:59:20 PM,3.625,49
PIBD0523C752,2:58:34 PM,2.335,0.7
PIID0527L140,2:58:04 PM,4.335,100
PIBD0526D772,2:57:56 PM,3.885,30
PIBD1031G662,2:57:54 PM,4.83,20
PIBD1024H595,2:57:53 PM,3.325,3.5
PIID0527L140,2:57:21 PM,4.33,50
PIID0527L140,2:57:17 PM,4.33,50
PIBL1221A042,2:57:15 PM,1.035,0.85
PIID0527L140,2:57:15 PM,4.33,50
PIID0524C129,2:55:27 PM,2.8,1
PIBL1221C102,2:55:12 PM,1.15,1.235
PIID0527L140,2:54:44 PM,4.33,50
PIBD1022H562,2:53:55 PM,1.75,18
PIID1023H046,2:53:47 PM,2.75,7.55
PIBL1221B078,2:53:28 PM,1.1,5.007
PIID0525H130,2:51:56 PM,3.58,30
PIBD1022G545,2:51:34 PM,1.5,30
PIBL1221L497,2:46:50 PM,1.63,7.185
PIBL1221L497,2:46:30 PM,1.63,3.03
PIBL1221L497,2:45:27 PM,1.63,5.06
PIBL1221F243,2:45:03 PM,1.435,354.34
PIID0525H130,2:37:11 PM,3.58,3.6
PIBL1221B069,2:37:04 PM,1.09,6
PIBL1221L497,2:35:44 PM,1.63,3
PIBL1221D165,2:33:27 PM,1.3,2
PIBL1221L497,2:32:57 PM,1.63,2.625
PIBL1221F225,2:32:19 PM,1.45,0.5
PIBD0522A747,2:31:18 PM,1.46,20
PIBL1221E208,2:30:51 PM,1.41,1.012
PIBL1221C102,2:30:43 PM,1.1255,51.98
PIBD2540I116,2:30:42 PM,5,300
PIID0525H130,2:27:57 PM,3.58,1
PIID0522L114,2:27:41 PM,2.1,4.3
PIBL1221E191,2:26:46 PM,1.4,1.1
PIBL1221L497,2:26:20 PM,1.63,3.5
PIBL1221L497,2:25:04 PM,1.645,2
PIBD2540I116,2:23:27 PM,5,50
PIBL1221E217,2:23:03 PM,1.4,4.28
PIID0525H130,2:22:54 PM,3.6,50
PIBD0728H654,2:22:43 PM,4.31,8.735
PIID0525H130,2:22:42 PM,3.6,50
PIID0323B101,2:22:17 PM,2.15,6.9
PIID0525H130,2:22:11 PM,3.6,50
PIID0525H130,2:21:49 PM,3.6,50
PIID0324C115,2:18:38 PM,2.78,3
PIBL1221B069,2:16:02 PM,1.1,10.088
PIBL1221A042,2:13:02 PM,1.035,0.5
PIBL1221A042,2:12:59 PM,1.035,0.5
PIBL1221E182,2:12:57 PM,1.425,1
PIID0324C115,2:11:23 PM,2.75,0.6
PIBD2033C206,2:10:08 PM,4.98,2.5
PIBD0728H654,2:10:04 PM,4.355,0.5
PIBL1221C111,2:06:46 PM,1.155,1.3
PIBL1221E217,2:06:30 PM,1.425,17.5
PIBD0724D595,2:05:56 PM,2.85,0.5
PIID0323B101,2:05:54 PM,2.125,14.1
PIID0323B101,2:05:52 PM,2.125,30.9
PIID0527L140,2:04:41 PM,4.33,1
PIBL1221L497,2:03:34 PM,1.63,0.5
PIBL1221F234,2:03:18 PM,1.435,1
PIBL1221F234,2:02:45 PM,1.435,1
PIBL1221F234,2:02:28 PM,1.435,1
PIBL1221F234,2:02:08 PM,1.435,1
PIID0524C129,11:59:55 AM,2.75,5.7
PIBL1221E191,11:57:24 AM,1.375,500
PIBL1221B087,11:57:12 AM,1.125,5
PIBL1221F234,11:57:04 AM,1.435,1
PIBL1221F234,11:55:38 AM,1.435,0.6
PIBD0323I252,11:52:29 AM,2.7,10
PIBL1221D165,11:52:03 AM,1.3,3.03
PIID0527L140,11:51:30 AM,4.3325,2.3
PIID0527L140,11:50:48 AM,4.3325,2
PIBL1221B069,11:50:22 AM,1.1,0.5
PIBL1221A033,11:50:18 AM,1.02,2.5
PIID0527L140,11:49:23 AM,4.34,5.4
PIBL1221E182,11:48:53 AM,1.37,5.4
PIBL1221E182,11:48:46 AM,1.37,6.1
PIBL1221F234,11:48:17 AM,1.435,4.071
PIBL1221C102,11:47:43 AM,1.125,5
PIBL1221E191,11:47:42 AM,1.375,30
PIBL1221C102,11:47:41 AM,1.125,0.5
PIBL1221C102,11:47:38 AM,1.125,5.28
PIBL1221F234,11:47:31 AM,1.425,8.02
PIBL1221B087,11:45:55 AM,1.125,3
PIBL1221F234,11:45:14 AM,1.435,10
PIBL1221L497,11:43:55 AM,1.63,10.8
PIBL1221A042,11:42:50 AM,1.035,20
PIID0324C115,11:40:03 AM,2.8,0.005
PIID1023H046,11:39:50 AM,3,1.2
PIBL1221L497,11:39:31 AM,1.645,0.43
PIBD1030G655,11:39:30 AM,4.85,15
PIID0525H130,11:37:30 AM,3.6,0.055
PIID0527L140,11:34:13 AM,4.3325,30
PIID0524C129,11:34:09 AM,2.725,0.5
PIBL1221F234,11:33:45 AM,1.435,1.006
PIID0527L140,11:32:56 AM,4.33,0.5
PIID0527L140,11:32:31 AM,4.33,2.25
PIBL1221B069,11:32:21 AM,1.1,20
PIBL1221J418,11:30:41 AM,1.585,150
PIBL1221J418,11:30:13 AM,1.585,50
PIBL1221L497,11:29:13 AM,1.63,2.2
PIBL1221L497,11:29:11 AM,1.63,1.66
PIBL1221L497,11:28:46 AM,1.63,1.66
PIBD2540I116,11:28:33 AM,5.0475,60
PIID1023H046,11:28:10 AM,3.05,5
PIBL1221E217,11:26:00 AM,1.435,2
PIBL1221B050,11:25:49 AM,1.085,30
PIBL1221K461,11:24:20 AM,1.6175,0.52
PIID0527L140,11:24:01 AM,4.33,50
PIBL1221E217,11:22:58 AM,1.425,1.8
PIBL1221E191,11:20:43 AM,1.4,8.6
PIBL1221J418,11:20:39 AM,1.585,100
PIBD0726B627,11:19:36 AM,3.88,3.5
PIBD0723D588,11:18:24 AM,2.47,0.3
PIBD0723D588,11:18:22 AM,2.5,0.3
PIID0527L140,11:18:22 AM,4.33,50
PIBL1221G297,11:18:05 AM,1.475,3
PIID0527L140,11:17:12 AM,4.33,100
PIID0527L140,11:17:06 AM,4.33,200
PIBD1022L585,11:17:04 AM,2.12,0.5
PIBL1221E217,11:17:01 AM,1.43,0.5
PIID0522L114,11:16:17 AM,2.1,0.5
PIID0527L140,11:15:38 AM,4.33,150
PIID0527L140,11:15:36 AM,4.335,7.82
PIID1026I057,11:15:35 AM,4.13,9
PIID0527L140,11:15:13 AM,4.33,50
PIID0527L140,11:15:06 AM,4.33,50
PIID0527L140,11:14:53 AM,4.33,50
PIBL1221B069,11:14:48 AM,1.1,70
PIID0527L140,11:14:48 AM,4.33,200
PIID0527L140,11:14:43 AM,4.33,50
PIBL1221L497,11:14:34 AM,1.63,1.1
