isin,time,yield,vol
PIBL1221H312,3:19:19 PM,1.55,2.53
PIBL1221C120,3:18:30 PM,1.385,1.031
PIBL1221A042,3:18:14 PM,1.125,10.01
PIBL1221A042,3:18:06 PM,1.125,3
PIBL1221E182,3:17:58 PM,1.41,0.5
PIBL1221A042,3:17:57 PM,1.125,2.01
PIBL1221B050,3:17:17 PM,1.14,0.638
PIBD0522A747,3:17:04 PM,1.465,50
PIBL1221J427,3:16:01 PM,1.62,3.5
PIBL1220K463,3:13:58 PM,1.05,1.2
PIBL1221D147,3:12:20 PM,1.395,40.19
PIBL1221E191,3:11:23 PM,1.47,17
PIBL1221J436,3:11:01 PM,1.605,5
PIBL1221B078,3:10:20 PM,1.2,1
PIBD1027E617,3:09:26 PM,3.825,5
PIBD1021K551,3:09:04 PM,1,50
PIBL1221A024,3:07:19 PM,1.12,5.08
PIID0524C129,3:07:12 PM,2.5,4
PIBD0728D649,3:06:58 PM,4.0675,25
PIBL1221A024,3:06:54 PM,1.12,11.21
PIBL1221B078,3:06:32 PM,1.24,1
PIBL1221A024,3:05:53 PM,1.13,5.169
PIBD0323I252,3:02:14 PM,2.365,0.5
PIBL1221H312,3:01:28 PM,1.575,0.7
PIBL1221C120,3:01:27 PM,1.385,33.35
PIBL1221C120,3:01:25 PM,1.385,2.7
PIBL1221E191,3:00:42 PM,1.45,1.02
PIBL1221B078,2:57:56 PM,1.215,200
PIBL1221C120,2:56:36 PM,1.385,1.577
PIBL1221F234,2:55:54 PM,1.5,0.8
PIBL1221C102,2:55:12 PM,1.381,50.193
PIBD2535L086,2:54:07 PM,5.15,0.427
PIBL1221A042,2:50:54 PM,1.125,4
PIBL1221B078,2:50:47 PM,1.21,1.01
PIBL1221A024,2:50:18 PM,1.1,17.2
PIBL1220K472,2:50:00 PM,1.06,5
PIBD0526D772,2:49:23 PM,3.59,50
PIBL1221F234,2:49:10 PM,1.5,0.4
PIBD0526D772,2:49:09 PM,3.59,200
PIBL1220K463,2:49:08 PM,1.05,25.22
PIBL1220K463,2:49:05 PM,1.05,30.38
PIBL1220K463,2:49:04 PM,1.05,29.37
PIBD0725D618,2:48:41 PM,3.1,0.2
PIBD1027E617,2:47:42 PM,3.825,50
PIBL1221I393,2:47:08 PM,1.5975,20.232
PIBL1221E182,2:46:28 PM,1.385,136
PIBD1029A644,2:45:06 PM,4.525,20
PIBL1221J427,2:44:59 PM,1.605,3.67
PIBL1221C095,2:44:58 PM,1.37,3.53
PIBL1221J427,2:44:54 PM,1.605,1.516
PIBL1221D147,2:44:04 PM,1.395,8.037
PIBL0621F030,2:44:00 PM,1.0685,12
PIID0324C115,2:43:44 PM,2.45,8
PIBL1221B078,2:42:35 PM,1.21,80.282
PIBD1029A644,2:42:18 PM,4.525,5
PIID1023H046,2:42:08 PM,2.4,1
PIBL1221B078,2:41:54 PM,1.21,20
PIBL0621F030,2:41:39 PM,1.0685,12
PIBL1221D165,2:40:59 PM,1.4,400
PIID1023H046,2:40:14 PM,2.4,0.25
PIBL1220K472,2:39:18 PM,1.06,3.208
PIBL1221E191,2:38:36 PM,1.45,1.077
PIBL1221E191,2:38:32 PM,1.45,1.028
PIBL1221E191,2:38:27 PM,1.45,1.151
PIBD0728D649,2:38:18 PM,4.05,83
PIBD0728D649,2:38:16 PM,4.05,96
PIBD0523C752,2:38:14 PM,2.075,29.5
PIBL1221E182,2:35:28 PM,1.39,69.182
PIBL1221C102,2:35:26 PM,1.357,10.035
PIBL1221B078,2:35:25 PM,1.24,4.04
PIBL1221B050,2:33:39 PM,1.135,44.067
PIBL1221A024,2:33:21 PM,1.12,30.5
PIBL1221B050,2:33:15 PM,1.135,30
PIBL1221C095,2:33:13 PM,1.37,2.03
PIBL1221A024,2:33:11 PM,1.115,1.3
PIBL1221C095,2:33:10 PM,1.37,2.04
PIBL1221E182,2:32:50 PM,1.4,18.28
PIBD0728H654,2:32:40 PM,4.1975,10
PIID0324C115,2:32:14 PM,2.45,100
PIBD1025I608,2:31:33 PM,3.25,100
PIBL1221E217,2:31:06 PM,1.485,1
PIBL1221H321,2:31:05 PM,1.575,5.47
PIBL1221F234,2:30:32 PM,1.5,2.15
PIBL1221C095,2:30:16 PM,1.37,0.5
PIBL1221C095,2:30:15 PM,1.37,0.5
PIBL1221A042,2:29:40 PM,1.125,0.715
PIID0524C129,2:29:37 PM,2.5,12
PIBD0726B627,2:29:13 PM,3.6,0.593
PIBL1221J427,2:29:04 PM,1.6,1.2
PIBL1221A024,2:29:03 PM,1.115,1.02
PIBL1221C111,2:29:02 PM,1.38,2
PIBL1221D174,2:28:51 PM,1.3875,18.747
PIBL1221A033,2:28:19 PM,1.12,24
PIBL1221F234,2:26:28 PM,1.5,0.303
PIBL1220K463,2:25:39 PM,1.05,30
PIBL1221B078,2:25:37 PM,1.224,2.4
PIBL1221C111,2:25:33 PM,1.375,8.044
PIBL1221A042,2:25:21 PM,1.125,1.528
PIBL1221E182,2:25:08 PM,1.3925,2
PIBD2540I116,2:24:55 PM,4.98,2
PIID0522L114,2:24:45 PM,2.05,2.007
PIBL1221B050,2:24:34 PM,1.14,0.302
PIBL1221D174,2:24:17 PM,1.385,3.01
PIBL1221C111,2:22:32 PM,1.385,59.234
PIBL1221A042,2:22:11 PM,1.125,27
PIBL1221A024,2:22:01 PM,1.115,3
PIBL1221A024,2:22:00 PM,1.115,0.5
PIBL1221A024,2:21:59 PM,1.115,2
PIBL0621F030,2:21:15 PM,1.065,1.03
PIBD0728D649,2:21:05 PM,4.0975,0.2
PIBD0526D772,2:20:30 PM,3.6,50
PIBL1220K463,2:19:06 PM,1.05,28.017
PIBL1220K463,2:19:05 PM,1.05,26.136
PIBL1220K463,2:19:04 PM,1.05,15.065
PIBL1221C120,2:19:03 PM,1.385,0.251
PIID0522L114,2:18:37 PM,2.05,2
PIBL1221C095,2:18:20 PM,1.36,2
PIBD0526D772,2:18:18 PM,3.61,50
PIBD0526D772,2:18:16 PM,3.6,50
PIBD0526D772,2:18:13 PM,3.6,50
PIBD0526D772,2:17:52 PM,3.6,50
PIBD0526D772,2:16:39 PM,3.61,50
PIBL1221B069,2:16:37 PM,1.2,100
PIBD0526D772,2:16:20 PM,3.6,50
PIBL1221B078,2:16:13 PM,1.2,2.004
PIBL1221B069,2:16:03 PM,1.2,3.04
PIBD0526D772,2:16:02 PM,3.61,50
PIBL1221B078,2:15:57 PM,1.24,200
PIBL1221E191,2:15:41 PM,1.48,5.284
PIBL1221C111,2:15:40 PM,1.38,0.65
PIBD0526D772,2:15:27 PM,3.61,50
PIBL1221C095,2:14:29 PM,1.355,3
PIBD0723D588,2:14:07 PM,2.26,2
PIBL1221B050,2:14:01 PM,1.14,0.53
PIID0323B101,2:12:51 PM,2.13,15
PIBL1221D174,2:11:39 PM,1.385,2.731
PIBL1221C095,2:10:29 PM,1.355,3.064
PIBL1221F234,2:07:31 PM,1.5,0.533
PIBL1221B078,2:06:18 PM,1.24,12
PIBL1221C120,2:05:53 PM,1.385,3.037
PIBD0526D772,2:05:04 PM,3.625,50
PIBL1221D147,2:04:30 PM,1.396,10
PIBL1221A042,2:04:28 PM,1.125,1.8
PIBL1221J436,2:04:21 PM,1.615,0.9
PIBL1221F234,2:04:19 PM,1.5,1.509
