isin,time,yield,vol
PIBD2540I116,11:59:35 AM,4.94,100
PIID0527L140,11:58:00 AM,4.065,50
PIID0527L140,11:57:43 AM,4.065,50
PIID0527L140,11:56:55 AM,4.065,50
PIBL1221F243,11:56:06 AM,1.36,0.506
PIBL1221B050,11:55:48 AM,1.05,145.3
PIBD1022L585,11:55:10 AM,2.22,2.5
PIBL1221E208,11:54:04 AM,1.35,6.1
PIBL1221C111,11:53:55 AM,1.1,0.06
PIBL1221C111,11:53:52 AM,1.1,0.06
PIBL1221B069,11:53:14 AM,1.06,2.5657
PIBD0522A747,11:52:20 AM,1.475,0.5
PIID1023H046,11:52:03 AM,2.75,1
PIBL1221L503,11:51:49 AM,1.63,4.387
PIBD1031G662,11:51:43 AM,4.55,99.5
PIBL1221F243,11:51:41 AM,1.36,1
PIBL1221F243,11:51:20 AM,1.3755,24.414
PIBL1221F234,11:50:04 AM,1.38,0.504
PIBL1221F234,11:49:45 AM,1.38,1.11
PIBL1221B078,11:49:25 AM,1.06,2
PIBL1221C111,11:48:55 AM,1.02,5.76
PIID0525H130,11:48:22 AM,3.35,50
PIBL1221E182,11:47:56 AM,1.3,100
PIBL1221L503,11:47:48 AM,1.63,1.012
PIBL1221B050,11:47:43 AM,1.05,10
PIBL1221B069,11:47:34 AM,1.06,15
PIBD0726B627,11:47:30 AM,3.6,24.277
PIID0525H130,11:47:28 AM,3.35,50
PIBD1025I608,11:47:23 AM,3.375,50
PIBL1221E208,11:47:15 AM,1.32,100.4
PIID0323B101,11:47:13 AM,2.08,3.04
PIBL1221A042,11:47:07 AM,1.025,100
PIBL1221E217,11:47:06 AM,1.33,1.513
PIID0527L140,11:46:36 AM,4.075,10
PIBL1221F234,11:46:32 AM,1.38,2
PIBL1221A042,11:45:52 AM,1.045,5.005
PIBL1221A042,11:45:41 AM,1.045,27.923
PIBL1221J409,11:44:50 AM,1.58,0.256
PIBL1221F234,11:44:44 AM,1.38,0.5
PIBL1221L503,11:43:39 AM,1.645,504.6
PIBL1221H321,11:43:35 AM,1.5,0.492
PIBL1221L488,11:43:10 AM,1.605,305.8
PIBL1221L503,11:41:14 AM,1.63,4.1
PIBL1221F243,11:39:50 AM,1.345,50
PIBL1221E182,11:39:37 AM,1.3,84.98
PIBL1221L503,11:39:34 AM,1.63,21.65
PIBL1221H312,11:38:47 AM,1.45,140
PIID0525H130,11:36:47 AM,3.45,0.005
PIID0527L140,11:36:42 AM,4.08,0.5
PIBL1221E191,11:36:34 AM,1.31,10.079
PIBD1031G662,11:36:20 AM,4.55,2.25
PIID1526J019,11:36:10 AM,4,1.3
PIBL1221L503,11:36:02 AM,1.63,10.5
PIID0527L140,11:35:30 AM,4.075,100
PIBL1221E182,11:35:21 AM,1.3,48.32
PIBL1221I366,11:35:14 AM,1.575,14.0898
PIBL1221A042,11:35:10 AM,1.035,10.208
PIBL1221A042,11:35:09 AM,1.035,1.008
PIBL1221I375,11:34:59 AM,1.575,10.771
PIID1023H046,11:34:54 AM,2.72,6
PIBL1221I393,11:34:48 AM,1.575,36.791
PIID0527L140,11:33:50 AM,4.07,1.95
PIBL1221I393,11:33:48 AM,1.5,50
PIBL1221E208,11:33:42 AM,1.3,2.2
PIBD1031G662,11:33:14 AM,4.55,100
PIBL1221F243,11:31:44 AM,1.3755,1.945
PIBL1221F243,11:31:10 AM,1.3755,2.948
PIBL1221C111,11:30:35 AM,1.02,15.03
PIID0324C115,11:30:08 AM,2.675,0.2
PIID0527L140,11:29:51 AM,4.075,100
PIID0324C115,11:29:40 AM,2.635,3
