isin,time,yield,vol
PIBL1221K452,3:51:02 PM,1.61,6
PIID0522L114,3:48:59 PM,2.125,0.5
PIBL1221E191,3:45:34 PM,1.41,15.07
PIBL1221K452,3:45:31 PM,1.61,4.55
PIID0323B101,3:44:51 PM,2.105,1.95
PIID1023H046,3:41:57 PM,2.575,0.5
PIBD0523C752,3:41:09 PM,2.3,4
PIID1023H046,3:40:48 PM,2.575,1.4
PIBL1221A033,3:40:48 PM,1.1,3
PIID1023H046,3:40:45 PM,2.575,1
PIBL1221C102,3:40:44 PM,1.185,5.015
PIBD0723D588,3:40:35 PM,2.3,8.08
PIID0324C115,3:39:55 PM,2.805,3
PIID0324C115,3:39:48 PM,2.83,0.8
PIBL1221A033,3:39:01 PM,1.1,10.013
PIBL1221A033,3:38:34 PM,1.1,10.013
PIBD2033C206,3:36:25 PM,5.3,0.65
PIBD0523C752,3:34:14 PM,2.215,1.5
PIBL1221C139,3:31:43 PM,1.33,50
PIID0524C129,3:29:55 PM,2.85,4
PIBL1221B069,3:27:25 PM,1.14,4.1
PIBL1221E208,3:23:05 PM,1.42,12.06
PIBL1221B069,3:19:55 PM,1.17,250
PIBL1221B050,3:19:53 PM,1.145,5
PIBL1220L505,3:19:44 PM,1.06,1.005
PIBL1221E191,3:19:39 PM,1.41,17.09
PIBL1221B069,3:19:39 PM,1.17,100
PIBL1221E182,3:19:33 PM,1.39,17.08
PIBL1221C102,3:18:56 PM,1.3,5.036
PIBL1221K452,3:18:32 PM,1.61,3
PIBL1221A024,3:14:26 PM,1.1,1.5
PIID1023H046,3:07:35 PM,2.55,2
PIBL0621F030,3:07:33 PM,1.065,9.51
PIBL1221K452,3:07:10 PM,1.61,5.5
PIBL1221K452,3:01:10 PM,1.61,19.22
PIBL1221K452,3:00:51 PM,1.61,0.78
PIBL1221E191,3:00:15 PM,1.41,8.03
PIBL1221E191,3:00:00 PM,1.41,2
PIBL1221E191,2:59:47 PM,1.41,20
PIBL1221B069,2:59:41 PM,1.14,0.1
PIBL1221B069,2:59:35 PM,1.14,8.51
PIBL1221B069,2:59:31 PM,1.14,4
PIBL1221K443,2:59:07 PM,1.61,1
PIBL1221E191,2:56:46 PM,1.41,1
PIBL1221B069,2:56:15 PM,1.135,16.2
PIBL1221B050,2:54:53 PM,1.2,0.5
PIBL1221D174,2:54:16 PM,1.4,2.01
PIBL1221E182,2:52:49 PM,1.41,1
PIBL1221B069,2:46:37 PM,1.135,1
PIBL1221A033,2:46:00 PM,1.1,5.48
PIBL1221K452,2:44:08 PM,1.61,1
PIBL1221E217,2:44:06 PM,1.43,0.302
PIBL1221C102,2:39:59 PM,1.3,1.5
PIBD0526D772,2:39:18 PM,4.425,10.83
PIBL1221B050,2:36:13 PM,1.141,20
PIBL1221A033,2:36:09 PM,1.1,0.5
PIBL1221C102,2:35:17 PM,1.3,5.015
PIBL1221B078,2:34:23 PM,1.14,2.77
PIBL1221D174,2:33:54 PM,1.45,5.39
PIBL1221A033,2:33:42 PM,1.105,71.086
PIBL1221C120,2:32:14 PM,1.2,100
PIID0323B101,2:31:39 PM,2.19,3
PIBL1221E182,2:30:17 PM,1.41,0.5
PIBL1221J418,2:28:51 PM,1.61,0.75
PIBL1221A033,2:28:01 PM,1.1,3
PIBD1025I608,2:26:02 PM,3.9,1.25
PIBL1221B050,2:25:51 PM,1.14,4.007
PIID0524C129,2:25:00 PM,3,0.05
PIBL1221E191,2:23:25 PM,1.3,3.5
PIBL1221K452,2:21:24 PM,1.61,3.116
PIBL1221D156,2:21:09 PM,1.39,0.503
PIBL1221D165,2:21:08 PM,1.405,1.506
PIBL1221E191,2:20:21 PM,1.42,20.16
PIBL0621F030,2:20:07 PM,1.0685,12.035
PIBL1221C111,2:20:02 PM,1.29,75.226
PIBL1221A033,2:19:11 PM,1.1,1
PIBL1221E208,2:18:45 PM,1.425,50.81
PIBL1221B078,2:18:26 PM,1.16,14.225
PIBL1221K452,2:17:40 PM,1.61,0.5
PIBD1027E617,2:16:44 PM,4.3,15
PIBL1221B078,2:15:06 PM,1.145,2.009
PIBL1221D156,2:14:15 PM,1.39,1
PIID0525H130,2:13:52 PM,3.9,15
PIBD2033C206,2:09:52 PM,5.18,2
PIBD2041G241,2:09:45 PM,5.13,0.5
PIBL1221B069,2:09:16 PM,1.135,1
PIBL1221E191,2:08:44 PM,1.41,3.5
PIBL1221B069,2:07:11 PM,1.175,0.25
PIBL1221D165,2:07:07 PM,1.405,0.213
PIBL1221K452,2:05:12 PM,1.615,1.11
PIBL1221B069,2:03:56 PM,1.14,5
PIBL1221K452,2:02:39 PM,1.615,30
PIBL1221B050,2:01:55 PM,1.14,8.235
PIBL1221E182,11:57:52 AM,1.4125,4.522
PIBL1221I375,11:56:36 AM,1.58,0.5
PIBD0526D772,11:55:25 AM,4.375,5
PIID1026I057,11:55:16 AM,4.575,1.2
PIBL1221D174,11:53:54 AM,1.4,5.024
PIBL1221B069,11:52:04 AM,1.135,4
PIBD0526D772,11:51:18 AM,4.47,100
PIBD0526D772,11:51:17 AM,4.47,50
PIBL1221H312,11:49:04 AM,1.5,10.1
PIBD2023B048,11:47:57 AM,2.235,17.5
PIBL1221E191,11:47:20 AM,1.41,10.05
PIBD1022G545,11:47:13 AM,1.38,30
PIBL1221D165,11:45:52 AM,1.4,21.0407
PIBL1221C111,11:45:48 AM,1.3,50
PIBL1221B069,11:45:47 AM,1.14,20.07
PIBL1221D165,11:45:46 AM,1.4,8
PIBL1221E191,11:45:01 AM,1.415,10
PIBL1221E191,11:42:28 AM,1.41,7.9
PIBL1221C102,11:42:20 AM,1.3,2.11
PIBL1221K452,11:42:20 AM,1.61,2
PIBL1221C102,11:42:19 AM,1.3,2.31
PIID1026I057,11:40:52 AM,4.55,0.02
PIBL1221B069,11:40:04 AM,1.14,10.205
PIBL1221E191,11:39:35 AM,1.415,7.9
PIBL1221C139,11:39:11 AM,1.32,4.2
PIBL1221A015,11:36:53 AM,1.0725,602.233
PIBL1221A033,11:36:04 AM,1.175,25.63
PIBL1221A024,11:35:57 AM,1.15,16.86
PIBL1221A015,11:35:43 AM,1.0725,602.233
PIBD0526D772,11:35:15 AM,4.47,50
PIBD0526D772,11:35:11 AM,4.47,100
PIBL1221D174,11:34:40 AM,1.4,5
PIBD0526D772,11:34:20 AM,4.47,50
PIBD0526D772,11:33:58 AM,4.47,50
PIID0324C115,11:33:41 AM,2.8,0.5
PIBL1221B050,11:33:01 AM,1.14,29
PIBL1221E191,11:31:36 AM,1.41,1.5
PIBD0526D772,11:30:41 AM,4.47,50
PIBL1221B078,11:28:38 AM,1.145,15.031
PIBL1221B078,11:27:20 AM,1.135,1
PIBL1221B069,11:27:14 AM,1.14,54.22
PIBL1221B069,11:27:13 AM,1.14,23.3
PIBL1221K452,11:25:14 AM,1.61,10
PIID1023H046,11:24:51 AM,2.5,60
PIBD2535L086,11:24:48 AM,5.5,1
PIBL1221E191,11:23:59 AM,1.42,10.2
PIBL1221A042,11:22:35 AM,1.135,5
PIBL1221A033,11:22:30 AM,1.11,5
PIBL1221E191,11:21:32 AM,1.41,2
PIBL1221A033,11:20:08 AM,1.1,2.1
PIBL1221A033,11:20:03 AM,1.1,3.2
PIBL1221A033,11:20:02 AM,1.1,1.5
PIBL1221A033,11:20:01 AM,1.1,8
PIBL1221B069,11:20:00 AM,1.14,20.21
PIID0323B101,11:19:23 AM,2.19,100
PIBL1221B078,11:18:56 AM,1.135,1.304
PIBL1221C139,11:18:16 AM,1.32,1.5
PIBL1221A024,11:17:22 AM,1.1,1.3
PIBL1221K443,11:17:15 AM,1.61,5.5
PIID1023H046,11:16:56 AM,2.8,0.5
PIBL1221C102,11:14:59 AM,1.3,0.5
PIBL1221B069,11:14:53 AM,1.14,25
PIBL1221C102,11:14:50 AM,1.3,105
PIBL1221J418,11:14:05 AM,1.61,7.5
PIID0324C115,11:13:38 AM,2.815,1.91
PIBL1221J418,11:13:25 AM,1.61,7.5
PIBL1221E191,11:12:08 AM,1.41,2.51
PIBL1221K452,11:12:06 AM,1.61,2.53
PIBD0526D772,11:10:27 AM,4.48,2
PIBL1221B069,11:06:55 AM,1.14,6.08
PIBL1221E191,11:06:52 AM,1.41,2.01
PIBL1221B069,11:06:46 AM,1.14,3
PIBL1220K472,11:05:05 AM,1.045,500
PIBL1221E191,11:04:42 AM,1.41,1
PIID0323B101,11:01:50 AM,2.105,1.95
PIBL1221A015,11:00:35 AM,1.1,10.011
PIBD0526D772,10:58:34 AM,4.4,0.345
PIBL1221D165,10:58:22 AM,1.405,0.151
PIBL1221D165,10:55:00 AM,1.4,0.1
PIBL1221C139,10:53:52 AM,1.32,1.2
PIBL0621F030,10:53:10 AM,1.065,27
PIBL1221C102,10:53:00 AM,1.3,5
PIID0324C115,10:50:45 AM,2.835,1.93
PIID0324C115,10:50:44 AM,2.815,1.8
PIBD0526D772,10:50:23 AM,4.4,26.635
PIBD0526D772,10:50:21 AM,4.4,9.068
PIBD0526D772,10:50:17 AM,4.4,2.515
PIBD2041G241,10:48:01 AM,5.13,2
PIBL1221C102,10:46:46 AM,1.3,2.005
PIBL1221B069,10:45:28 AM,1.145,10.0406
PIBL1221A033,10:44:05 AM,1.105,10
PIBD0728D649,10:44:03 AM,4.6,15
PIBL1221B069,10:37:14 AM,1.135,0.9
PIBL1221E191,10:36:40 AM,1.41,7
PIBL1221B069,10:36:39 AM,1.135,5
PIBL1221K452,10:36:38 AM,1.61,7.5
PIBL1221B069,10:35:59 AM,1.135,2.5553
PIBL1221B069,10:35:37 AM,1.175,2
PIBL0621F030,10:33:27 AM,1.065,12.5
PIBD0522A747,10:33:23 AM,1.495,100
PIBL0621F030,10:32:35 AM,1.065,2
PIBL1221A033,10:30:17 AM,1.1,6.3
PIBL1221E191,10:28:15 AM,1.41,28.953
PIBL1220L505,10:27:11 AM,1.06,0.591
PIBL1221D165,10:24:02 AM,1.4,1.507
PIBL1221E191,10:23:52 AM,1.41,55.625
PIBL1221C139,10:17:59 AM,1.32,0.6
