isin,time,yield,vol
PIID0324C115,3:59:50 PM,2.475,20.2
PIID0524C129,3:59:11 PM,2.55,200
PIBL1221J436,3:55:25 PM,1.6,1.51
PIBL1221D174,3:54:48 PM,1.385,1.5
PIBL1221D174,3:54:43 PM,1.385,6.78
PIBL1221A042,3:54:10 PM,1.125,16.44
PIBL1221A042,3:54:05 PM,1.125,0.8
PIBL1221A042,3:54:00 PM,1.125,8.69
PIBL1221J427,3:53:18 PM,1.605,151.743
PIBL1220L480,3:51:59 PM,1.125,10
PIBL1220L480,3:51:12 PM,1.128,10
PIBL1221D174,3:45:49 PM,1.395,1
PIID0522L114,3:45:28 PM,1.9,0.3369
PIBD1031G662,3:45:23 PM,4.765,50
PIBL1221E191,3:45:17 PM,1.48,16.5
PIBD1025I608,3:44:24 PM,3.275,100
PIBL1221B050,3:44:18 PM,1.2,12.8
PIBL1221B050,3:43:29 PM,1.2,10
PIBL1221B050,3:42:25 PM,1.2,1.1
PIBL1221B050,3:42:00 PM,1.2,1.9
PIBL1221B050,3:41:01 PM,1.2,2.5
PIBD2540I116,3:40:18 PM,5.0255,10
PIID1023H046,3:39:33 PM,2.4,8
PIBL1221H321,3:38:13 PM,1.6,2.5
PIBL1221E191,3:38:03 PM,1.525,2.37
PIBL1221D174,3:37:59 PM,1.38,2.011
PIBL1221C095,3:37:41 PM,1.375,3.5
PIBL1221C111,3:37:39 PM,1.385,5.622
PIBL1221B069,3:37:27 PM,1.3,1.5
PIBL1220K472,3:37:08 PM,1.065,2.5
PIBL1220K463,3:36:50 PM,1.065,3.5
PIBD1031G662,3:36:44 PM,4.775,50
PIBD0723D588,3:36:32 PM,2.1,0.03
PIBL1221D165,3:33:58 PM,1.415,60
PIBL1221J436,3:33:51 PM,1.605,1
PIBL1221C120,3:33:50 PM,1.4225,2.035
PIBD1024H595,3:33:43 PM,2.7,0.02
PIBD2535L086,3:33:34 PM,5.1,20
PIBL1221J436,3:31:34 PM,1.605,5
PIBL1221A015,3:30:00 PM,1.09,0.5
PIBL1221D174,3:29:59 PM,1.4025,20
PIBD2535L086,3:29:26 PM,5.105,20
PIBL1220K472,3:28:09 PM,1.055,10.532
PIBD0725D618,3:26:04 PM,3.15,0.03
PIBD1031G662,3:25:25 PM,4.76,8
PIBD1031G662,3:22:47 PM,4.775,50
PIBD0526D772,3:22:44 PM,3.635,50
PIBD1031G662,3:22:37 PM,4.775,50
PIBD1031G662,3:22:34 PM,4.775,50
PIBD1031G662,3:22:26 PM,4.78,50
PIBD1028C635,3:22:04 PM,4.445,50
PIBD0728D649,3:21:51 PM,4.2,11.5
PIBD1025I608,3:21:34 PM,3.275,100
PIBD0526D772,3:20:49 PM,3.635,50
PIBL1221B078,3:19:31 PM,1.25,0.2
PIBD0728D649,3:18:58 PM,4.185,50
PIID0324C115,3:18:05 PM,2.485,30
PIBL1221F234,3:18:03 PM,1.525,5.1
PIBL1221A024,3:17:47 PM,1.1,0.3
PIBL1220K472,3:17:04 PM,1.05,1.82
PIBD0526D772,3:16:49 PM,3.64,50
PIBD0526D772,3:16:31 PM,3.6425,50
PIBL1221A015,3:16:22 PM,1.12,12
PIBL1221E182,3:16:09 PM,1.435,40
PIBL1221J436,3:14:23 PM,1.6,2.24
PIBL1221D174,3:13:48 PM,1.385,1
PIBL1221D174,3:13:44 PM,1.385,4.02
PIBL1221D174,3:13:39 PM,1.385,8.04
PIBL1221D174,3:13:34 PM,1.385,1.39
PIBL1221D174,3:11:51 PM,1.385,18.6
PIBL1221D174,3:11:43 PM,1.385,0.5
PIBL1221D174,3:11:38 PM,1.385,10
PIBL1221D174,3:11:33 PM,1.385,11.05
PIBL1221D174,3:11:27 PM,1.385,9
PIBL1221D174,3:11:22 PM,1.385,0.5
PIBL1221A015,3:10:05 PM,1.12,25.03
PIBD0728D649,3:09:54 PM,4.19,25
PIBL1221A042,3:09:06 PM,1.125,40.07
PIBL1221A042,3:08:42 PM,1.125,10.02
PIBL1221A042,3:08:35 PM,1.125,1.22
