series_mosb,series_short,isin,coupon,issue_date,maturity_date,watchlist,on_the_run
1065,,PIBD1030G655,2.875,7/9/20,7/9/30,,
2502,,PIBD2530G029,12.5,7/28/05,7/28/30,,
2503,,PIBD2531A032,11.25,1/26/06,1/26/31,,
2017,,PIBD2031G171,8,7/19/11,7/19/31,,
1066,,PIBD1031G662,4,7/22/21,7/22/31,,
2504,,PIBD2531J042,9.375,10/5/06,10/5/31,,
2018,,PIBD2032B183,5.875,2/2/12,2/2/32,,
R201,201,PIID2032C014,5.875,3/1/12,3/1/32,,
2019,,PIBD2032I195,5.75,9/27/12,9/27/32,,
2505,,PIBD2532K057,8.5,11/29/07,11/29/32,,
2020,,PIBD2033C206,3.625,3/21/13,3/21/33,,
2506,,PIBD2534K062,9.25,11/5/09,11/5/34,,
2507,,PIBD2535I071,8,9/30/10,9/30/35,,
2508,,PIBD2535L086,8.125,12/16/10,12/16/35,,
2509,,PIBD2536I097,7.625,9/29/11,9/29/36,,
2021,,PIBD2037E214,5.25,5/18/17,5/18/37,,
2510,,PIBD2537H103,5.75,8/16/12,8/16/37,,
R251,251,PIID2537J015,6.125,10/24/12,10/24/37,,
2022,,PIBD2038B224,6.5,2/22/18,2/22/38,,
2023,,PIBD2039A232,6.75,1/24/19,1/24/39,,
2511,,PIBD2540I116,4.625,9/9/15,9/9/40,,
2024,,PIBD2041G241,5.125,7/15/21,7/15/41,,
