"Domestic No.","Global ID","Local ID","BMT","Coupon","Issue Date","Maturity","Days","Years","D.Vol(MM)","Traded Time","Last Price","Last Yield","W. Ave. Price","W. Ave. Yield","Bid Price","Bid Yield","Offer Price","Offer Yield","Open Price","High Price","Low Price","Close Price","Open Yield","High Yield","Low Yield","Close Yield",
"PIBL1221A015","RPTB 0 01/05/22","RPTB 0 01/05/22","","-","2021-01-06","2022-01-05","1","0.003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBL1221A024","RPTB 0 01/12/22","RPTB 0 01/12/22","","-","2021-01-13","2022-01-12","8","0.022","15.000000","11:39:25 AM","99.9815310","0.9500","99.9817253","0.9400","-","-","-","-","99.9821140","99.9821140","99.9815310","99.9815310","0.9200","0.9500","0.9200","0.9500",
"PIBD1022G545","RPGB 6 3/8 01/19/22","FXTN 10-54","","6.3750","2011-07-19","2022-01-19","15","0.041","400.590000","11:07:11 AM","100.2009880","1.1700","100.2009880","1.1700","-","-","-","-","100.2009880","100.2009880","100.2009880","100.2009880","1.1700","1.1700","1.1700","1.1700",
"PIBL1221A033","RPTB 0 01/19/22","RPTB 0 01/19/22","","-","2021-01-20","2022-01-19","15","0.041","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD0522A747","RPGB 4 01/26/22","FXTN 05-74","","4.0000","2017-01-26","2022-01-26","22","0.060","607.300000","3:14:42 PM","100.1708970","1.0500","100.1662079","1.1291","-","-","-","-","100.1728110","100.1728110","100.1661430","100.1708970","1.1500","1.1500","1.0500","1.0500",
"PIBL1221A042","RPTB 0 01/26/22","RPTB 0 01/26/22","","-","2021-01-27","2022-01-26","22","0.060","0.541000","11:53:34 AM","99.9417010","1.0000","99.9417010","1.0000","-","-","-","-","99.9417010","99.9417010","99.9417010","99.9417010","1.0000","1.0000","1.0000","1.0000",
"PIBL1221B050","RPTB 0 02/02/22","RPTB 0 02/02/22","","-","2021-02-03","2022-02-02","29","0.079","129.108000","3:01:24 PM","99.9184000","1.0500","99.9212652","1.0053","-","-","-","-","99.9203410","99.9269280","99.9174990","99.9184000","1.0250","1.0500","0.9750","1.0500",
"PIBL1221B069","RPTB 0 02/09/22","RPTB 0 02/09/22","","-","2021-02-10","2022-02-09","36","0.099","5.000000","11:20:23 AM","99.9101500","0.9250","99.9101500","0.9250","-","-","-","-","99.9101500","99.9101500","99.9101500","99.9101500","0.9250","0.9250","0.9250","0.9250",
"PIBL1221B078","RPTB 0 02/16/22","RPTB 0 02/16/22","","-","2021-02-17","2022-02-16","43","0.118","10.000000","11:54:44 AM","99.8834690","1.0000","99.8834690","1.0000","-","-","-","-","99.8834690","99.8834690","99.8834690","99.8834690","1.0000","1.0000","1.0000","1.0000",
"PIBL1221B087","RPTB 0 02/23/22","RPTB 0 02/23/22","","-","2021-02-24","2022-02-23","50","0.137","5.500000","3:08:33 PM","99.8742560","0.9250","99.8742560","0.9250","-","-","-","-","99.8742560","99.8742560","99.8742560","99.8742560","0.9250","0.9250","0.9250","0.9250",
"PIBL1221C095","RPTB 0 03/02/22","RPTB 0 03/02/22","","-","2021-03-03","2022-03-02","57","0.156","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
