"Domestic No.","Global ID","Local ID","BMT","Coupon","Issue Date","Maturity","Days","Years","D.Vol(MM)","Traded Time","Last Price","Last Yield","W. Ave. Price","W. Ave. Yield","Bid Price","Bid Yield","Offer Price","Offer Yield","Open Price","High Price","Low Price","Close Price","Open Yield","High Yield","Low Yield","Close Yield",
"PIBL1221A024","RPTB 0 01/12/22","RPTB 0 01/12/22","","-","2021-01-13","2022-01-12","1","0.003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD1022G545","RPGB 6 3/8 01/19/22","FXTN 10-54","","6.3750","2011-07-19","2022-01-19","8","0.022","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBL1221A033","RPTB 0 01/19/22","RPTB 0 01/19/22","","-","2021-01-20","2022-01-19","8","0.022","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD0522A747","RPGB 4 01/26/22","FXTN 05-74","","4.0000","2017-01-26","2022-01-26","15","0.041","0.405000","10:34:51 AM","100.1139230","1.0500","100.1139230","1.0500","-","-","-","-","100.1139230","100.1139230","100.1139230","100.1139230","1.0500","1.0500","1.0500","1.0500",
"PIBL1221A042","RPTB 0 01/26/22","RPTB 0 01/26/22","","-","2021-01-27","2022-01-26","15","0.041","1.310000","2:57:07 PM","99.9708420","0.7500","99.9708420","0.7500","-","-","-","-","99.9708420","99.9708420","99.9708420","99.9708420","0.7500","0.7500","0.7500","0.7500",
"PIBL1221B050","RPTB 0 02/02/22","RPTB 0 02/02/22","","-","2021-02-03","2022-02-02","22","0.060","4.500000","10:32:26 AM","99.9475280","0.9000","99.9475280","0.9000","-","-","-","-","99.9475280","99.9475280","99.9475280","99.9475280","0.9000","0.9000","0.9000","0.9000",
"PIBL1221B069","RPTB 0 02/09/22","RPTB 0 02/09/22","","-","2021-02-10","2022-02-09","29","0.079","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBL1221B078","RPTB 0 02/16/22","RPTB 0 02/16/22","","-","2021-02-17","2022-02-16","36","0.099","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBL1221B087","RPTB 0 02/23/22","RPTB 0 02/23/22","","-","2021-02-24","2022-02-23","43","0.118","5.000000","10:10:42 AM","99.8863790","0.9750","99.8863790","0.9750","-","-","-","-","99.8863790","99.8863790","99.8863790","99.8863790","0.9750","0.9750","0.9750","0.9750",
"PIBL1221C095","RPTB 0 03/02/22","RPTB 0 03/02/22","","-","2021-03-03","2022-03-02","50","0.137","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
