"Domestic No.","Global ID","Local ID","BMT","Coupon","Issue Date","Maturity","Days","Years","D.Vol(MM)","Traded Time","Last Price","Last Yield","W. Ave. Price","W. Ave. Yield","Bid Price","Bid Yield","Offer Price","Offer Yield","Open Price","High Price","Low Price","Close Price","Open Yield","High Yield","Low Yield","Close Yield",
"PIBD1022G545","RPGB 6 3/8 01/19/22","FXTN 10-54","","6.3750","2011-07-19","2022-01-19","1","0.003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBL1221A033","RPTB 0 01/19/22","RPTB 0 01/19/22","","-","2021-01-20","2022-01-19","1","0.003","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD0522A747","RPGB 4 01/26/22","FXTN 05-74","","4.0000","2017-01-26","2022-01-26","8","0.022","1,770.311200","3:44:35 PM","100.0599310","0.9000","100.0597375","0.9097","-","-","-","-","100.0599310","100.0604270","100.0581470","100.0599310","0.9000","0.9900","0.8750","0.9000",
"PIBL1221A042","RPTB 0 01/26/22","RPTB 0 01/26/22","","-","2021-01-27","2022-01-26","8","0.022","56.172000","11:12:10 AM","99.9836690","0.8400","99.9843686","0.8040","-","-","-","-","99.9844470","99.9844470","99.9836690","99.9836690","0.8000","0.8400","0.8000","0.8400",
"PIBL1221B050","RPTB 0 02/02/22","RPTB 0 02/02/22","","-","2021-02-03","2022-02-02","15","0.041","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBL1221B069","RPTB 0 02/09/22","RPTB 0 02/09/22","","-","2021-02-10","2022-02-09","22","0.060","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBL1221B078","RPTB 0 02/16/22","RPTB 0 02/16/22","","-","2021-02-17","2022-02-16","29","0.079","7.010000","9:31:52 AM","99.9347090","0.8400","99.9347090","0.8400","-","-","-","-","99.9347090","99.9347090","99.9347090","99.9347090","0.8400","0.8400","0.8400","0.8400",
"PIBL1221B087","RPTB 0 02/23/22","RPTB 0 02/23/22","","-","2021-02-24","2022-02-23","36","0.099","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBL1221C095","RPTB 0 03/02/22","RPTB 0 03/02/22","","-","2021-03-03","2022-03-02","43","0.118","1.040000","3:23:39 PM","99.9009320","0.8500","99.9009320","0.8500","-","-","-","-","99.9009320","99.9009320","99.9009320","99.9009320","0.8500","0.8500","0.8500","0.8500",
"PIBL1221C102","RPTB 0 03/09/22","RPTB 0 03/09/22","","-","2021-03-10","2022-03-09","50","0.137","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
